row_label,col_1,col_2,col_3
A Charges filed against employers under Sec. 8(a),A Charges filed against employers under Sec. 8(a),A Charges filed against employers under Sec. 8(a),A Charges filed against employers under Sec. 8(a)
Subsections of Sec 8(a) Total cases,,23630,100 0
8(aX1),,4238,l79
8(aX1X2),,213,09
8(a)(1X3),,8734,370
800( 1 X4),,176,07
g(aXIX5),,7187,304
8(aX1X2)(3),,112,05
8(aX1X2)(4),,6,00
8(a)(1X2X5),,106,04
RaXIX3X4),,520,22
8(0( I X3 X5),,2113,89
8(aX 1 X4)(5),,28,01
8(aX1X2)(3)(4),,14,01
8(a)(1X2X3)(5),,85,04
8(a)(1X2X4)(5),,3,00
1 X3 X4X5),S(aX,82,03
8(aX1X2)(3)(4X5),,13,01
',',','
8(a)(1),,23630,100 0
8(a)(2),,552,23
8(aX3),,11673,494
S(aX4),,842,36
,8(aX5),9617,407
B. Charges filed against unions under Sec 8(b),B. Charges filed against unions under Sec 8(b),B. Charges filed against unions under Sec 8(b),B. Charges filed against unions under Sec 8(b)
Subsections of Sec 8(6) Total cases,,6726,100 0
8(b)(1),,4794,71 3
8(bX2),,38,06
8(b)(3),,172,26
8(b)(4),,669,99
8(b)(5),,3,00
8(b)(7),,121,18
8(6X1X2),,637,95
8(bX1X3),,237,35
8(bX1X5),,10,01
8(b)(1X6),,7,01
8(b)(2X3),,2,00
8(6X 1 X2X3),,22,03
,,7,0 1
8(bX1X2)(5),,2,00
8(b)(1X2X3X5),8(3)(1X2X6),1,00
8(bXIX2X3X6),,2,00
,8(bX2X3)(5X6),1,00
8(bX1X2)(3)(5X6),,1,00
