row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,3155,131,4.2,30,1.0,8,0.3,139,4.4,38,1.2
By type of cases:,,,,,,,,,,,
In RC cases................................................,2684,109,4.1,29,1.1,8,0.3,117,4.4,37,1.4
In RMcases..............................................,46,5,10.9,0,0.0,0,0.0,5,10.9,0,0.0
In RD cases...............................................,425,17,4.0,1,0.2,0,0.0,17,4.0,1,0.2
By type of election:,,,,,,,,,,,
Consent elections......................................,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,2642,48,1.8,15,0.6,1,0.0,49,1.9,16,0.6
Expedited elections...................................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,506,83,16.4,15,3.0,7,1.4,90,17.8,22,4.3
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
