row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Total representation elections..............,122730,49042,16929,23797,8316,14567,21015,10507,9669,839,38106
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
Other national unions..............................,39024,13420,,13420,,5452,7367,,7367,,12785
AFL-CIO..................................................,34962,9216,9216,,,3231,7748,7748,,,14767
Other local unions....................................,5500,2280,,,2280,1103,726,,,726,1391
1-union elections..................................,79486,24916,9216,13420,2280,9786,15841,7748,7367,726,28943
National v. Local......................................,1355,1304,,773,531,13,26,,14,12,12
National v. National................................,4763,4111,,4111,,133,277,,277,,242
AFL-CIO v. National..............................,3379,2936,2032,904,,144,119,15,104,,180
Local v. Local..........................................,1558,1344,0,0,1344,214,0,,,,
AFL-CIO v. AFL-CIO............................,1910,854,854,,,78,459,459,,,519
AFL-CIO v. Local....................................,1396,1194,573,,621,39,85,28,,57,78
2-union elections..................................,14361,11743,3459,5788,2496,621,966,502,395,69,1031
National v. National v. Local..................,72,68,0,61,7,4,0,,,,
National v. National v. National..............,63,63,0,63,0,0,0,,,,
National v. National v. National v. National....................................................,10,10,0,10,0,0,0,,,,
National v. Local v. Local........................,18,16,0,2,14,2,0,,,,
AFL-CIO v. AFL-CIO v. Local..............,1856,1856,1846,0,10,0,0,,,,
AFL-CIO v. AFL-CIO v. National v. Local..........................................................,80,79,9,2,68,1,0,,,,
AFL-CIO v. National v. National............,39,39,10,29,0,0,0,,,,
Local v. Local v. Local............................,28,28,0,0,28,0,0,,,,
3 (or more)-union elections..................,2166,2159,1865,167,127,7,0,0,0,0,0
