Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date Board decision and order
"13-CC-65 (AFL-Teamsters, Local 200 (Lincoln Warehouse Co))",,10 (l),,,,,,"Mar. 5, 1954",
"6-CC-44 (AFL-Teamsters, Local 249 (Crump Inc))","Feb. 22, 1954",10 (l),,,,,"Mar. 5, 1954",,
"16-CC-21 (AFL-Teamsters, Local 743 (Hildebrand Warehouse Co))","Feb. 24, 1954",10 (l),,,,,,,
"20-CC-15 (International Longshoremen's Assn, Local 1300 Inc)","Feb. 17, 1954",10 (l),,,,,,"Apr. 22, 1954","Apr. 15, 1954"
"36-CC-11 (AFL-Teamsters, Local 690 (Olds Massey Co, Ltd))","Feb. 23, 1954",10 (l),,,,,"May 7, 1954",,
"16-CC-22 (AFL-Teamsters, Local 968 (Red Ball Motor Freight))","Feb. 24, 1954",10 (l),,,,,"Feb. 25, 1954",,
"16-CC-23 (AFL-Teamsters, Local 968 (Red Ball Motor Freight))","Feb. 24, 1954",10 (l),,,,,"May 4, 1954",,
"7-CC-22 (AFL-Electrical Workers, Local 48 (R. W. Taylor Electric Co))",,10 (l),,,,,"Feb. 26, 1954","Jan. 29, 1954, m-7-CD-8",
"2-CC-277 (Independent Brotherhood of Production, Maintenance & Operating Employees, Local 30 (Aacha Dairy Farms Co))","Mar. 18, 1954",10 (l),,,,,"Apr. 19, 1954",,
Additional case rows (10+) present,,,,,,,,,
