row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Couriers and Messengers..........................,62,48,45,1,2,14,1432,1239,854,819,13,22,385,1110
Warehousing and Storage Facilities..........,57,32,29,2,1,25,2388,2111,1041,922,109,10,1070,1090
49-Transportation................................,119,80,74,3,3,39,3820,3350,1895,1741,122,32,1455,2200
Publishing Industries................................,20,9,8,1,0,11,745,647,310,310,0,0,337,349
Motion Picture and Sound Recording Industries..................................................,10,6,6,0,0,4,1700,1115,729,729,0,0,386,620
Broadcasting and Telecommunications....,68,22,19,2,1,46,3607,3355,1326,1309,0,17,2029,722
Information Services and Data Processing Services..................................,8,5,4,0,1,3,284,229,135,78,0,57,94,245
Information..........................................,106,42,37,3,2,64,6336,5346,2500,2426,0,74,2846,1936
Monetary Authorities - Central Bank........,3,2,1,1,0,1,89,61,51,4,47,0,10,77
Credit Intermediation and Related Activities..................................................,3,3,2,1,0,0,46,41,39,20,19,0,2,46
"Securities, Commodity Contracts and Other Intermediation and Related Activities..................................................",1,1,0,1,0,0,46,25,1,0,0,1,24,0
Insurance Carriers and Related Activities,1,0,0,0,0,1,26,26,11,11,0,0,15,0
"Funds, Trusts and Other Financial Vehicles (U.S. Only)................................",1,1,0,1,0,0,23,11,10,0,10,0,1,23
Finance and Insurance..........................,9,7,3,4,0,2,230,164,112,35,76,1,52,146
Real Estate................................................,10,9,8,0,1,1,200,178,102,97,0,5,76,130
Rental and Leasing Services....................,25,17,16,0,1,8,832,734,393,355,0,38,341,542
Real Estate and Rental and Leasing....,35,26,24,0,2,9,1032,912,495,452,0,43,417,672
"Professional, Scientific and Technical Services....................................................",33,21,16,1,4,12,1143,1013,599,373,40,186,414,550
