row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3632,185,5.1,63,1.7,36,1.0,221,61,99,2.7
By type of ease:,,,,,,,,,,,
In RC cases,3073,161,5.2,57,1.9,32,1.0,193,6.3,89,29
In RMcases,52,3,5.8,1,1.9,0,,3,5.8,1,1 9
In RI) cases,507,21,4.1,5,1.0,4,0.8,25,4.9,9,1 8
By type of election:,,,,,,,,,,,
Consent elections,13,0,,0,,I,7.7,1,7.7,1,7.7
Stipulated elections ..,2997,127,42,49,1.6,27,09,154,5.1,76,25
Expedited elections ................ ..........,1,1,100.0,0,,0,,1,100.0,0,
Regional Director-directed elections ................. ...........- ............ ...-,615,57,9.3,14,2.3,8,1.3,65,10.6,22,36
Board-directed elections,6,0,,0,,0,,0,,0,
