row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
B. By number of employees affected:,,,,,,,,,,,,,
"Employees offered reinstate- ment, total............................",2393,2393,1577,0,59,290,467,,,,,,
Accepted............................,1838,1838,1251,0,30,241,316,,,,,,
Declined..............................,555,555,326,0,29,49,151,,,,,,
Employees placed on prefe- rential hiring list..................,364,364,320,0,19,24,1,,,,,,
Hiring hall rights restored........,87,,,,,,,87,85,0,0,2,0
Objections to employment withdrawn............................,6,,,,,,,6,5,0,0,1,0
Employees receiving backpay: From either employer or union..............................,23320,23144,19132,14,779,1638,1581,176,141,0,2,13,20
From both employer and union..............................,23,19,11,0,0,2,6,4,3,0,0,1,0
"Employees reimbursed for fees, dues, and fines:",,,,,,,,,,,,,
From either employer or union..............................,632,286,151,0,4,100,31,346,337,0,0,9,0
From both employer and union..............................,114,82,80,0,0,0,2,32,32,0,0,0,0
