row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
0(k) notices of hearings issued,85,68,,,,68,,,,,,,
Domplaints issued,"6,966 186","5,320 120","4,357 105",445 7,162 0,,8 0,21 0,10 0,37 0,134 4,87 4,59 0
3ackpay specifications issued,1897,1297,1000,102,23,32,1,5,1,6,41,72,14
"Tearings completed, total",1820,1240,948,99,23,32,1,5,1,6,41,71,13
Initial ULP hearings Backpay hearings,54,,36,3,0,,0,0,0,,,1,
Other hearings,23,40 17,16,0,0,,0,0,0,0 0,0 0,0,0 1
"Decisions by administrative law judges, total__",1878,1211,937,95,24,,1,3,1,4,50,86,_ 10
Initial ULP decisions,1793,1157,891,92,24,,1,3,1,4,47,85,9
Backpay decisions,67,40,34,3,0,,0,0,0,0,3,6,0
Supplemental decisions,18,14,12,0,0,,0,0,0,0,0,1,1
"Decisions and orders by the Board, total",2446,1645,1250,143,36,40,6,3,- 3,8,60,77,19
Upon consent of parties Initial decisions,212,116,68,16,,,,1,1,1,9,0,8
Supplemental decisions,12,7,5,0,11 1,,1 0,0,0,0,1,0,0
Adopting administrative law judges deci- sions (no exceptions filed) Initial ULP decisions,474,363,293,28,8,,1,0,2,1,10,14,6
Backpay decisions,21,13,11,2,0,,0,0,0,0,0,0,0
Contested Initial ULP decisions,"1,611 44","1,081 34",824,92,14 1,40,3,2,0,5,36 1,61 0,4 1
Decisions based on stipulated record,5,3,26,3 0,,,1,0,0,1,1,0,0
Supplemental ULP decisions,,,2,,0,,0,0,0,0,,,
Backpay decisions,67,28,21,2,,,0,0,0,0,,,0
,,,,,1,,,,,,2,2,
