row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Insurance Carriers and Related Activities,5,1,0,1,0,4,146,124,78,48,30,0,46,52
"Funds, Trusts and Other Financial Vehicles (U.S. Only)................................",1,1,0,1,0,0,6,5,4,0,4,0,1,6
Finance and Insurance..........................,13,7,5,2,0,6,1068,934,382,313,34,35,552,216
Real Estate................................................,19,13,11,0,2,6,168,143,104,78,0,26,39,124
Rental and Leasing Services.................... Owners and Lessors of Other Non-,45,14,13,1,0,31,1426,3590,438,438,0,0,3152,345
Financial Assets........................................,1,1,1,0,0,0,3,3,3,3,0,0,0,3
Real Estate and Rental and Leasing....,65,28,25,1,2,37,1597,3736,545,519,0,26,3191,472
"Professional, Scientific and Technical Services....................................................",47,34,27,5,2,13,3179,2562,1272,746,76,450,1290,681
Management of Companies and Enterprises................................................,3,2,2,0,0,1,34,32,20,20,0,0,12,23
Administrative and Support Services........,137,92,50,20,22,45,5155,4068,2510,1309,570,631,1558,3236
Waste Management and Remediation Services....................................................,82,35,34,0,1,47,3959,3484,1542,1534,0,8,1942,1427
"Administrative and Support, Waste Management and Remediation Services..",219,127,84,20,23,92,9114,7552,4052,2843,570,639,3500,4663
Educational Services............................,69,51,41,5,5,18,4612,3858,2546,2203,197,146,1312,3611
Ambulatory Health Care Services............,79,40,34,0,6,39,5509,4053,1959,1783,70,106,2094,1806
Hospitals....................................................,223,130,105,16,9,93,49397,39908,21536,16270,2141,3125,18372,26848
Nursing and Residential Care Facilities....,204,132,126,4,2,72,14584,11998,6776,6518,124,134,5222,10356
Social Assistance......................................,36,23,22,0,1,13,1982,1572,873,850,5,18,699,1255
Health Care and Social Assistance......,542,325,287,20,18,217,71472,57531,31144,25421,2340,3383,26387,40265
"Performing Arts, Spectator Sports and Related Industries......................................",25,18,16,2,0,7,1449,1044,741,555,149,37,303,1174
"Museums, Historical Sites and Similar Institutions................................................",3,2,2,0,0,1,55,53,30,30,0,0,23,48
"Amusement, Gambling and Recreation Industries..................................................",30,16,14,1,1,14,2859,2804,1668,1436,44,188,1136,1553
"Arts, Entertainment and Recreation....",58,36,32,3,1,22,4363,3901,2439,2021,193,225,1462,2775
