Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — RC,Formal actions taken by type of case — RM,Formal actions taken by type of case — RD,Formal actions taken by type of case — UD
"Decisions on objections and/or challenges, total",999,941,831,34,76,12
By regional directors,209,172,150,6,16,7
By Board,790,769,681,28,60,5
In stipulated elections,748,729,646,27,56,5
No exceptions to regional directors' reports,578,561,511,15,35,4
Exceptions to regional directors' reports,170,168,135,12,21,1
In directed elections (after transfer by regional director),42,40,35,1,4,0
Review of regional directors' supplemental decisions — Request for review received,54,53,48,1,4,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on request ruled upon, total",55,47,42,0,4,1
Granted,7,7,6,0,1,0
Denied,47,39,35,1,3,0
Remanded,1,1,1,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",0,0,0,0,0,0
Regional directors' decisions: Affirmed,0,0,0,0,0,0
Regional directors' decisions: Modified,0,0,0,0,0,0
Regional directors' decisions: Reversed,0,0,0,0,0,0
