row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,30195,100.0,,23051,100.0,6335,100.0,446,100.0,187,100.0,32,100.0,37,100.0,107,100.0
Agreement of the parties......................................,10684,35.4,100.0,9185,39.8,1176,18.6,198,44.4,58,31.0,4,12.5,23,62.2,40,37.4
Informal settlement.....................................,10682,35.4,100.0,9184,39.8,1176,18.6,198,44.4,58,31.0,4,12.5,22,59.5,40,37.4
Before issuance of complaint...............,8404,27.8,78.7,7120,30.9,999,15.8,171,38.3,58,31.0,3,9.4,18,48.6,35,32.7
"After issuance of complaint, before opening of hearing..........................",2156,7.1,20.2,1948,8.5,172,2.7,26,5.8,0,0.0,1,3.1,4,10.8,5,4.7
"After hearing opened, before issuance of administrative law judge's decision...........................................",122,0.4,1.1,116,0.5,5,0.1,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement........................................,2,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.7,0,0.0
Before opening of hearing...................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.7,0,0.0
Stipulated decision........................,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.7,0,0.0
Consent decree..............................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,655,2.2,100.0,598,2.6,45,0.7,7,1.6,0,0.0,1,3.1,1,2.7,3,2.8
Administrative law judge's decision..........,3,0.0,0.5,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,395,1.3,60.3,348,1.5,44,0.7,2,0.4,0,0.0,1,3.1,0,0.0,0,0.0
Adopting administrative law judge's decision (no exceptions filed)........,213,0.7,32.5,187,0.8,25,0.4,0,0.0,0,0.0,1,3.1,0,0.0,0,0.0
Contested............................................,182,0.6,27.8,161,0.7,19,0.3,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0
Circuit court of appeals decree....................,257,0.9,39.2,247,1.1,1,0.0,5,1.1,0,0.0,0,0.0,1,2.7,3,2.8
Supreme Court action..................................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,9279,30.7,100.0,7187,31.2,1830,28.9,155,34.8,45,24.1,15,46.9,7,18.9,40,37.4
Before issuance of complaint......................,9142,30.3,98.5,7056,30.6,1826,28.8,154,34.5,45,24.1,15,46.9,7,18.9,,36.4
"issuance of complaint, before opening of",99,0.3,1.1,,,,,1,,,,0,0.0,,,39,
After hearing.................................,,,,93,0.4,4,0.1,,0.2,0,0.0,,,0,0.0,1,0.9
