Size of unit,Total / Number,Total / Percent,col3 N / Number,col3 % / Percent,col5 N / Number,col5 % / Percent,col7 N / Number,col7 % / Percent,col9 N / Number,col9 % / Percent
Total,141,100.0,23,100.0,18,100.0,3,100.0,97,100.0
1-9,26,18.4,4,17.4,1,5.5,0,.0,21,21.6
10-19,25,17.7,1,4.4,2,11.1,0,.0,22,22.7
20-29,19,13.5,2,8.7,2,11.1,0,.0,15,15.5
30-39,16,11.3,4,17.4,3,16.6,0,.0,9,9.3
40-49,7,5.0,3,13.0,0,.0,0,.0,4,4.1
50-59,5,3.6,1,4.4,0,.0,0,.0,4,4.1
60-69,5,3.6,0,.0,2,11.1,1,33.4,2,2.1
70-79,2,1.4,0,.0,0,.0,1,33.3,1,1.0
80-89,2,1.4,0,.0,0,.0,0,.0,2,2.1
90-99,3,2.1,0,.0,0,.0,0,.0,3,3.1
100-149,12,8.5,3,13.0,4,22.2,0,.0,5,5.2
150-199,7,5.0,2,8.7,1,5.6,0,.0,4,4.1
200-299,5,3.6,1,4.3,1,5.6,0,.0,3,3.1
300-399,4,2.8,2,8.7,1,5.6,0,.0,1,1.0
400 and over,3,2.1,0,.0,1,5.6,1,33.3,1,1.0
