row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
Total all circuits,120,469,90,75.0,310,66.1,6,5.0,40,8.5,9,7.5,33,7.0,7,5.8,27 5.8,8,6.7,59,12.6
"Boston,MA",0,15,0,0.0,11,73.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1 6.7,0,0.0,3,20.0
"New York, NY",5,31,5,100.0,24,77.4,0,0.0,0,0.0,0,0.0,2,6.5 0,0.0,,2 6.5,0,0.0,3,9.6
"Philadelphia, PA",8,33,8,100.0,25,75.7,0,0.0,4,12.1,0,0.0,0,0.0,0,0.0,2 6.1,0,0.0,2,6.1
"Richmond, VA",7,42,5,71.4,22,52.4,0,0.0,6,14.3,1,14.3,2,4.8,1,14.3,3 7.1,0,0.0,9,21.4
"New Orleans, LA",11,7,8,72.7,3,42.8,2,18.2,2,28.6,0,0.0,0,0.0 0,0.0,1,14.3,1,9.1,1,14.3
"Cincinnati, OH",19,89,16,84.2,62,69.7,0,0.0,10,11.2,1,5.3,0,0.0,2,10.5,5 5.6,0,0.0,12,13.5
"Chicago, IL",10,36,8,80.0,24,66.6,0,0.0,2,5.6,0,0.0,1,2.8 2,,20.0,2 5.6,0,0.0,7,19.4
"St. Louis,MO",6,21,6,100.0,14,66.7,0,0.0,2,9.5,0,0.0,2,9.5,0 0.0,1,4.8,0,0.0,2,9.5
"San Francisco, CA",7,24,4,57.1,19,79.1,0,0.0,1,4.2,1,14.3,1,4.2,0,0.0 3,12.5,2,28.6,0,0.0
"Denver, CO.",3,16,2,66.7,10,62.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4 25.0,1,33.3,2,12.5
"Atlanta, GA",3,28,3,100.0,21,75.0,0,0.0,1,3.6,0,0.0,1,3.6,0,0.0,0 0.0,0,0.0,5,17.8
"Washington, DC",41,127,25,61.0,75,59.1,4,9.8,12,9.4,6,14.6,24,18.9,2,4.9,3 2.4,4,9.8,13,10.2
