Affiliation of participating unions,Employees eligible to vote,Total valid votes cast,Percent eligible casting valid votes,Valid votes cast for winning union / A.F.L. affiliates,Valid votes cast for winning union / C.I.O. affiliates,Valid votes cast for winning union / Unaffiliated unions,Valid votes cast for losing union / A.F.L. affiliates,Valid votes cast for losing union / C.I.O. affiliates,Valid votes cast for losing union / Unaffiliated unions,Valid votes cast for no union
Total all elections,343092,295949,86.3,82892,70000,53438,19838,22424,13467,33881
1-union elections,,,,,,,,,,
A.F.L. (1-union),72239,61452,85.0,48310,,,,,,13232
C.I.O. (1-union),52330,45580,89.0,,34014,,,,,12876
Unaffiliated (1-union),18902,15455,81.8,,,12438,,,,3019
2-union elections,,,,,,,,,,
A.F.L.-C.I.O. (2-union),62872,55907,88.9,11387,18901,,6204,10823,,8592
A.F.L.-A.F.L. (2-union),31927,28402,89.0,11343,,,7788,,,9171
3-union elections,,,,,,,,,,
4-union elections,,,,,,,,,,
