row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all",5860,100.0,4532,100.0,232,100.0,1096,103.0,145,100.0
"Certification issued, total",3769,64.3,3061,67.5,84,36.2,624,57.2,84,57.9
After,,,,,,,,,,
Consent election,41,0.7,37,0.8,0,,4,0.4,2,1.4
Before notice of hearing,16,0.3,13,0.3,0,,3,0.3,2,1.4
"After notice of hearing, before hearing closed",22,0.4,21,0.5,0,,1,0.1,0,
"After hearing closed, before decision",3,0.1,3,0.1,0,,0,,0,
Stipulated election,3174,54.2,2558,56.4,68,29.3,548,50.3,68,46.9
Before notice of hearing,1040,17.7,743,16.4,31,13.4,266,24.4,61,42.1
"After notice of hearing, before hearing closed",2111,36.0,1.796,39.6,37,15.9,278,25.5,6,4.1
"After hearing closed, before decision",23,0.4,19,0.4,0,,4,0.4,1,0.7
Expedited election,4,0.1,0,,4,1.7,0,,0,
Regional Director-directed election,509,8.7,429,9.5,12,5.2,68,6.2,14,9.7
Board-directed election,41,0.7,37,0.8,0,,4,0.3,0,
"By withdrawal, total",1759,30.0,1319,29.1,103,43.1,340,31.2,45,31.0
Before nonce of hearing,686,11.7,404,8.9,60,25.9,222,20.4,37,25.5
"After notice of hearing, before hearing closed",918,15.7,779,17.2,34,14.7,105,9.6,7,4.8
"After hearing closed, before decision",33,0.6,28,0.6,0,,5,0.5,0,
After Regional Director's decision and direction of election,121,2.1,108,2.4,6,2.6,7,0.6,1,0.7
After Board decision and direction of election,1,0.0,0,,0,,1,0.0,0,
"By dismissal, total",332,5.7,152,3.3,48,20.7,132,12.1,16,11.0
Before nonce of hearing,154,2.6,43,0.9,24,10.3,87,8.0,15,10.3
"After notice of hearing, before hearing closed",68,1.2,22,0.5,15,6.5,31,2.8,1,0.7
"Alter hearing closed, before decision",3,0.1,I,,1,0.4,1,0.1,0,
By Regional Director's decision,107,1.8,86,1.9,8,3.4,13,1.2,0,
By Board decision,0,,0,,0,,0,,0,
