row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois......................................................,28,8,8,0,0,20,1032,874,366,366,0,0,508,461
Indiana......................................................,9,3,3,0,0,6,268,239,110,110,0,0,129,104
Michigan..................................................,34,9,8,1,0,25,2201,1781,806,733,73,0,975,946
Ohio..........................................................,26,11,11,0,0,15,1125,1010,543,543,0,0,467,590
Wisconsin..................................................,20,6,5,1,0,14,449,339,160,160,0,0,179,219
East North Central................................,117,37,35,2,0,80,5075,4243,1985,1912,73,0,2258,2320
Alabama....................................................,4,0,0,0,0,4,132,123,44,44,0,0,79,0
Kentucky..................................................,5,0,0,0,0,5,138,126,44,44,0,0,82,0
Mississippi................................................,2,1,1,0,0,1,119,108,50,50,0,0,58,48
Tennessee..................................................,7,3,3,0,0,4,428,387,186,186,0,0,201,254
East South Central................................,18,4,4,0,0,14,817,744,324,324,0,0,420,302
New Jersey................................................,15,2,2,0,0,13,816,679,260,260,0,0,419,93
New York..................................................,35,14,14,0,0,21,7016,1253,575,575,0,0,678,724
Pennsylvania............................................,21,7,7,0,0,14,922,771,422,414,0,8,349,549
Middle Atlantic....................................,71,23,23,0,0,48,8754,2703,1257,1249,0,8,1446,1366
Arizona......................................................,4,2,1,1,0,2,136,100,49,10,39,0,51,75
Colorado....................................................,3,0,0,0,0,3,41,37,10,10,0,0,27,0
Idaho..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana....................................................,3,2,2,0,0,1,136,114,54,54,0,0,60,87
Nevada......................................................,8,2,2,0,0,6,702,623,267,267,0,0,356,35
New Mexico..............................................,2,1,1,0,0,1,60,50,33,33,0,0,17,50
Utah..........................................................,1,0,0,0,0,1,29,23,10,10,0,0,13,0
Wyoming..................................................,1,0,0,0,0,1,92,84,27,27,0,0,57,0
Mountain..............................................,22,7,6,1,0,15,1196,1031,450,411,39,0,581,247
Connecticut..............................................,4,0,0,0,0,4,69,62,19,19,0,0,43,0
Maine........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
