row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2004....................","*14,192",10135,472,492,3048,45
Received fiscal 2005..........................,18300,12290,739,627,4611,33
On docket fiscal 2005........................,32492,22425,1211,1119,7659,78
Closed fiscal 2005..............................,20337,13859,738,604,5088,48
"Pending September 30, 2005..............",12155,8566,473,515,2571,30
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pending October 1, 2004....................",2279,42,5,13,1894,325
Received fiscal 2005..........................,5812,57,9,13,5120,613
On docket fiscal 2005........................,8091,99,14,26,7014,938
Closed fiscal 2005..............................,6022,54,10,15,5289,654
"Pending September 30, 2005..............",2069,45,4,11,1725,284
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 2004....................",207,1,0,1,8,197
Received fiscal 2005..........................,360,6,1,2,20,331
On docket fiscal 2005........................,567,7,1,3,28,528
Closed fiscal 2005..............................,348,2,1,3,21,321
"Pending September 30, 2005..............",219,5,0,0,7,207
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 2004....................",60,6,0,0,1,53
Received fiscal 2005..........................,104,12,0,3,4,85
On docket fiscal 2005........................,164,18,0,3,5,138
Closed fiscal 2005..............................,106,14,0,1,2,89
"Pending September 30, 2005..............",58,4,0,2,3,49
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 2004....................",15,2,0,0,4,9
Received fiscal 2005..........................,41,4,1,2,1,33
On docket fiscal 2005........................,56,6,1,2,5,42
Closed fiscal 2005..............................,36,4,1,2,3,26
"Pending September 30, 2005..............",20,2,0,0,2,16
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 2004....................",11,0,0,0,1,10
Received fiscal 2005..........................,32,0,0,0,0,32
On docket fiscal 2005........................,43,0,0,0,1,42
Closed fiscal 2005..............................,34,0,0,0,0,34
"Pending September 30, 2005..............",9,0,0,0,1,8
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 2004....................",29,0,1,0,4,24
Received fiscal 2005..........................,71,1,0,1,7,62
On docket fiscal 2005........................,100,1,1,1,11,86
Closed fiscal 2005..............................,72,1,0,1,6,64
"Pending September 30, 2005..............",28,0,1,0,5,22
