row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all...................................................................",2655,100.0,2002,100.0,66,100.0,587,100.0,94,100.0
"Certification issued, total.......................................................",1586,59.7,1302,65.0,17,25.8,267,45.5,44,46.8
After:,,,,,,,,,,
Consent election......................................................,41,1.5,38,1.9,1,1.5,2,0.3,2,2.1
Before notice of hearing.....................................,9,0.3,9,0.4,0,0.0,0,0.0,2,2.1
"After notice of hearing, before hearing closed..",29,1.1,27,1.3,0,0.0,2,0.3,0,0.0
"After hearing closed, before decision.................",3,0.1,2,0.1,1,1.5,0,0.0,0,0.0
Stipulated election...................................................,1370,51.6,1117,55.8,10,15.2,243,41.4,31,33.0
Before notice of hearing.....................................,130,4.9,96,4.8,2,3.0,32,5.5,12,12.8
"After notice of hearing, before hearing closed...",1219,45.9,1003,50.1,8,12.1,208,35.4,19,20.2
"After hearing closed, before decision.................",21,0.8,18,0.9,0,0.0,3,0.5,0,0.0
Expedited election...................................................,2,0.1,1,0.0,1,1.5,0,0.0,0,0.0
Regional Director-directed election........................,109,4.1,93,4.6,2,3.0,14,2.4,9,9.6
Board-directed election...........................................,64,2.4,53,2.6,3,4.5,8,1.4,2,2.1
"By withdrawal, total..............................................................",909,34.2,654,32.7,20,30.3,235,40.0,33,35.1
Before notice of hearing...............................................,136,5.1,61,3.0,9,13.6,66,11.2,22,23.4
"After notice of hearing, before hearing closed.............",715,26.9,544,27.2,11,16.7,160,27.3,10,10.6
"After hearing closed, before decision...........................",19,0.7,16,0.8,0,0.0,3,0.5,1,1.1
After Regional Director's decision and direction of election...................................................................,33,1.2,28,1.4,0,0.0,5,0.9,0,0.0
After Board decision and direction of election............,6,0.2,5,0.2,0,0.0,1,0.2,0,0.0
"By dismissal, total..................................................................",160,6.0,46,2.3,29,43.9,85,14.5,17,18.1
Before notice of hearing...............................................,30,1.1,6,0.3,6,9.1,18,3.1,14,14.9
"After notice of hearing, before hearing closed.............",79,3.0,13,0.6,9,13.6,57,9.7,2,2.1
"After hearing closed, before decision...........................",1,0.0,0,0.0,0,0.0,1,0.2,0,0.0
By Regional Director's decision..................................,34,1.3,18,0.9,9,13.6,7,1.2,1,1.1
By Board decision........................................................,16,0.6,9,0.4,5,7.6,2,0.3,0,0.0
