row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
District of Columbia,206,157,III,41,3,0,0,1,44,40,1,3,0,0,5
Virginia,462,386,305,76,3,1,0,1,70,56,4,10,0,0,6
West Virginia,734,683,530,105,30,3,0,15,50,33,7,10,0,1,o
North Carolina,395,339,265,73,1,0,0,0,55,43,0,12,o,o,1
South Carolina,156,137,104,31,2,0,0,0,19,12,0,7,0,0,0
Georgia,644,550,395,143,3,8,1,0,93,75,1,17,0,0,1
Florida,952,807,643,138,19,3,1,3,143,121,1,21,0,I,1
South Atlantic,4479,3836,2818,884,88,20,3,22,618,498,17,103,7,2,16
Kentucky,67 1,580,470,82,23,0,0,5,83,62,3,18,1,1,6
Tennessee,873,741,599,128,6,0,5,3,127,83,5,39,0,0,5
Alabama,368,289,219,67,3,0,0,0,78,63,1,14,0,0,1
Mississippi,201,164,122,42,0,0,0,0,37,33,0,4,0,0,0
East South Central,2113,1774,1410,319,32,0,5,8,325,241,9,75,1,1,12
Arkansas,234,183,151,32,0,0,0,0,49,37,2,10,0,0,2
Louisiana,393,337,215,103,11,3,3,1,55,41,1,13,0,0,1
Oklahoma,259,218,180,37,1,0,0,0,40,25,3,12,0,0,1
Texas,1179,1 031,704,298,18,7,2,1,142,100,12,30,0,0,6
West South Central,2065,1769,1250,470,30,10,5,2,286,203,18,65,0,0,10
Montana,206,144,122,15,6,0,0,1,48,23,3,22,12,0,2
Idaho,123,92,40,34,2,16,0,0,26,15,3,8,1,0,4
Wyoming,52,45,35,10,0,0,0,0,7,4,1,2,0,0,0
Colorado,726,619,494,122,0,0,0,2,95,53,12,30,0,0 0,12
New Mexico,165,142,96,46,1,0,0,0,23,13,0,10,0,,0
Arizona,441,392,278,,8,0,1,2,45,27,8,10,0,0,4
Utah,117,85,65,103,0,0,0,0,31,29,0,2,0,0,1
Nevada,376,311,205,20 77,18,1,1,9,61,37,4,20,0,0,4
Mountain,2206,1830,1335,427,35,,17 2,14 -,336,201,31,104,_ 13,0,27
