Mode of disposition,Number of cases,Percentage of — Total cases closed,Percentage of — Total cases on docket,Number of workers involved,Percentage of — Total number of workers involved in cases closed,Percentage of — Total number of workers involved in cases on docket
"Cases pending June 30, 1938",115,,18.1,2235,,25.8
"Cases received July 1, 1938, to June 30, 1939",519,,81.9,6430,,74.2
Total cases on docket,634,,100.0,8665,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,128,32.3,20.2,562,19.3,6.5
By dismissal,142,35.8,22.4,1680,57.6,19.4
By withdrawal,123,31.0,19.4,662,22.7,7.6
Otherwise,,,,,,
Total cases closed before issuance of complaint,393,99.1,62.0,2904,99.6,33.5
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,1,.2,.2,(1),,
By dismissal by Board decision,1,.2,.2,1,(1),(1)
By compliance with Board decision,2,.5,.3,10,.4,.1
Total cases closed after issuance of complaint,4,.9,.7,11,.4,.1
"Total cases closed July 1, 1938 to June 30, 1939",397,100.0,,2915,100.0,
"Cases pending June 30, 1939",237,,37.3,5750,,66.4
