Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD - Jurisdictional disputes,CD - Unfair labor practices,CE,CG,CP,CA combined with CB,C combined with rep-resentation cases,Other C combinations
10(k) notices of hearings issued,33,30,,,,30,,,,,,,
Complaints issued,1703,1096,965,86,13,,2,0,0,6,13,11,0
Backpay specifications issued,112,48,45,1,0,,,,,0,0,2,0
"Hearings completed, total",176,175,162,11,2,0,0,0,0,0,0,0,0
Backpay hearings,159,158,145,11,2,0,0,0,0,0,0,0,0
Other hearings,8,8,8,0,0,0,0,0,0,0,0,0,0
"Decisions by administrative law judges, total",194,169,154,11,2,0,0,1,0,0,1,0,0
Initial ULP decisions,164,141,127,11,2,0,0,1,0,0,0,0,0
Backpay decisions,7,5,4,0,0,0,0,0,0,0,1,0,0
Supplemental decisions,23,23,23,0,0,0,0,0,0,0,0,0,0
"Decisions and orders by the Board, total",600,258,237,10,3,0,9,0,0,1,6,11,1
Upon consent of parties:,,,,,,,,,,,,,
Initial decisions,71,16,14,0,1,0,0,0,0,1,0,0,0
Supplemental decisions,0,0,0,0,0,0,0,0,0,0,0,0,0
Adopting administrative law judges' decisions (no exceptions filed):,,,,,,,,,,,,,
Initial ULP decisions,90,47,42,4,1,0,0,0,0,0,0,0,0
Backpay decisions,0,0,0,0,0,0,0,0,0,0,0,0,0
Supplemental decisions,0,0,0,0,0,0,0,0,0,0,0,0,0
Contested:,,,,,,,,,,,,,
Initial ULP decisions,373,167,138,6,1,0,9,0,0,0,5,7,1
Decisions based on stipulated record,1,1,1,0,0,0,0,0,0,0,0,0,0
Supplemental ULP decisions,32,14,11,0,0,0,0,0,0,0,0,3,0
Backpay decisions,33,13,11,0,0,0,0,0,0,0,0,0,0
