row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO……………………………...,34,29.4,10,10,,,24,2226,410,410,,,1816
Other national unions............................,1,100.0,1,,1,,0,45,45,,45,,0
1-union elections...............................,35,31.4,11,10,1,0,24,2271,455,410,45,0,1816
AFL-CIO v. AFL-CIO.........................,1,100.0,1,1,,,0,129,129,129,,,0
AFL-CIO v. National............................,1,0.0,0,0,0,,1,6,0,0,0,,6
2-union elections...............................,2,50.0,1,1,0,0,1,135,129,129,0,0,6
Total RMelections............................,37,32.4,12,11,1,0,25,2406,584,539,45,0,1822
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
Other national unions,13,53.8,7,,7,,6,1630,1373,,1373,,257
Other local unions..................................,11,27.3,3,,,3,8,351,224,,,224,127
AFL-CIO...............................................,391,34.0,133,133,,,258,26395,13158,13158,,,13237
1-union elections...............................,415,34.5,143,133,7,3,272,28376,14755,13158,1373,224,13621
AFL-CIO v. AFL-CIO.........................,1,0.0,0,0,,,1,8,0,0,,,8
AFL-CIO v. Local...............................,3,100.0,3,0,,3,0,94,94,0,,94,0
2-union elections...............................,4,75.0,3,0,0,3,1,102,94,0,0,94,8
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO...........................................,1,0.0,0,0,,,1,7,0,0,,,7
3 (or more)-union elections...............,1,0.0,0,0,0,0,1,7,0,0,0,0,7
Total RD elections............................,420,34.8,146,133,7,6,274,28485,14849,13158,1373,318,13636
