row_label,col_1,col_2,col_3,col_4,col_5,col_6
"All types, total:",,,,,,
Elections.................................,"2 3,081",3,2555,0,521,2
Eligible voters........................,237238,358,184751,0,51988,141
Valid votes.............................,200444,327,157721,0,42286,110
RC cases:,,,,,,
Elections.................................,2631,3,2172,0,456,0
Eligible voters........................,202937,358,158774,0,43805,0
Valid votes.............................,173236,327,137108,0,35801,0
RMcases:,,,,,,
Elections................................,43,0,35,0,6,2
Eligible voters........................,2754,0,2231,0,382,141
Valid votes.............................,2297,0,1874,0,313,110
RD cases:,,,,,,
Elections.................................,358,0,314,0,44,0
Eligible voters........................,25283,0,19394,0,5889,0
Valid votes.............................,21202,0,16454,0,4748,0
UD cases:,,,,,,
Elections.................................,49,0,34,0,15,
Eligible voters........................,6264,0,4352,0,1912,
Valid votes.............................,3709,0,2285,0,1424,
