row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total.......................................................",410,397,321,18,58,5
Initial hearing......................................................................,305,294,240,16,38,2
Hearing on objections and/or challenges............................,105,103,81,2,20,3
"Decisions issued, total............................................................",369,355,306,18,31,15
By Regional Director..........................................................,314,304,259,16,29,15
Elections directed..........................................................,263,252,225,6,21,15
Dismissals on record.....................................................,51,52,34,10,8,0
By Board.............................................................................,55,51,47,2,2,0
Transferred by Regional Directors for initial decision.,2,2,2,0,0,0
Elections directed....................................................,0,0,0,0,0,0
Dismissals on record...............................................,1,1,1,0,0,0
Other………………...............................................,1,1,1,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,140,130,97,14,19,2
Withdrawn before request ruled upon.....................,16,15,11,0,4,0
"Board action on request ruled upon, total...............",127,117,89,12,16,1
Granted..............................................................,21,19,12,5,2,1
Denied................................................................,100,92,73,6,13,0
Remanded..........................................................,6,6,4,1,1,0
"Withdrawn after request granted, before Board review......................................................................",6,6,6,0,0,0
"Board decision after review, total...........................",53,49,45,2,2,0
Regional Directors' decisions:,,,,,,
Affirmed......................................................,5,4,4,0,0,0
Modified......................................................,40,37,36,1,0,0
Reversed......................................................,8,8,5,1,2,0
Outcome:,,,,,,
Election directed.........................................,50,46,43,2,1,0
Dismissals on record...................................,3,3,2,0,1,0
Other………………...................................,0,0,0,0,0,0
"Decisions on Objections and/or Challenges, total..................",409,389,328,2,59,11
By Regional Directors.........................................................,187,176,145,0,31,6
By Administrative Law Judges….......................................,23,23,18,0,5,1
By Board............................................................................,199,190,165,2,23,4
In stipulated elections...................................................,166,159,137,1,21,2
No Exceptions to Regional Directors' reports.......,98,92,75,1,16,1
Exceptions to Regional Directors' reports.............,68,67,62,0,5,1
In directed elections ( after transfer by Regional Director)........................................................................,22,21,18,1,2,1
No exceptions to RDs/HOs Reports………………….,,11,,,,
,12,,10,1,0,0
Exceptions to RDs/HOs Reports…………………….. Review of Regional Directors' supplemental,10,10,8,0,2,1
Request for review received.................................... Withdrawn before request ruled upon....................,25,0,21,0,0,1
,3,3,3,0,0,0
