row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
1. Boston,5,5,4,10,28,20,8
2. New York,41,33,25,43,59,40,19
3. Buffalo,4,3,2,4,21,18,3
4. Philadelphia,16,14,8,18,35,27,8
5. Baltimore,13,10,4,26,31,27,4
6. Pittsburgh,7,8,6,a,9,7,2
7. Detroit,8,10,8,11,24,21,3
8. Cleveland,22,10,4,15,15,6,9
9. Cincinnati,7,8,4,9,9,5,4
10. Atlanta,28,22,15,23,44,35,9
11. Indianapolis,17,7,10,23,29,15,19
12. Milwaukee,4,9,9,9,4,4,
13. Chicago,16,24,24,27,43,36,7
14. St. Louis,8,5,3,6,15,13,2
15. New Orleans,6,6,2,5,5,5,
16. Forth Worth,15,13,16,17,35,33,2
17. Kansas City,6,7,4,5,21T,18,3
18. Minneapolis,19,12,9,14,15,8,7
19. Seattle,11,6,3,,18,17,1
20. San Francisco,22,14,8,4 14,25,5,20
21. Los Angeles,13,21,17,12,'-' - --34,27,7
22. Denver,9,7,4,7,8,8,
Board',1,1,,,3,3,
