row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,615,62,553,431,77.9,122,22.1
By type of case,,,,,,,
RC cases,515,56,459,355,77.3,104,22.7
RM cases,24,0,24,21,87.5,3,12.5
RD cases,76,6,70,55,78.6,15,21.4
By type of election,,,,,,,
Consent elections,11,0,11,7,63.6,4,36.4
Stipulated elections,461,49,412,331,80.3,81,19.7
Expedited elections,0,0,0,0,,0,
Regional Director-directed elections,134,11,123,89,72.4,34,27.6
Board-directed elections,9,2,7,4,57.1,3,42.9
