row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Credit Intermediation and Related Activities...................................................,3,1,1,0,0,2,77,68,26,25,1,0,42,47
Finance and Insurance..........................,3,1,1,0,0,2,77,68,26,25,1,0,42,47
Real Estate.................................................,8,6,2,3,1,2,98,87,60,19,30,11,27,74
Rental and Leasing Services.....................,15,9,4,5,0,6,727,748,395,85,310,0,353,407
Lessors of Nonfinancial Intangible Assets (except Copyrighted Works).....................,1,1,1,0,0,0,8,8,7,7,0,0,1,8
Real Estate and Rental and Leasing.....,24,16,7,8,1,8,833,843,462,111,340,11,381,489
"Professional, Scientific, and Technical Services.....................................................",33,17,11,6,0,16,2106,1471,669,598,71,0,802,1127
Management of Companies and Enterprises................................................,8,8,3,5,0,0,101,97,68,17,51,0,29,101
Administrative and Support Services........,115,94,24,59,11,21,6692,4162,3008,651,1931,426,1154,5427
Waste Management and Remediation Services.....................................................,35,18,7,11,0,17,1399,1281,664,191,422,51,617,761
Administrative and Support and Waste Management and Remediation Services.....................................................,150,112,31,70,11,38,8091,5443,3672,842,2353,477,1771,6188
Educational Services............................,47,36,12,14,10,11,2736,2281,1500,485,744,271,781,2319
Ambulatory Health Care Services.............,56,35,9,18,8,21,2769,2018,1231,193,581,457,787,1814
Hospitals....................................................,93,74,25,38,11,19,11640,8760,5679,1068,3072,1539,3081,8468
Nursing and Residential Care Facilities....,88,58,8,50,0,30,5207,3903,2409,207,2202,0,1494,3497
Social Assistance.......................................,31,21,10,11,0,10,1900,1434,1019,134,883,2,415,1682
Health Care and Social Assistance.......,268,188,52,117,19,80,21516,16115,10338,1602,6738,1998,5777,15461
"Performing Arts, Spectator Sports, and Related Industries......................................",9,5,4,1,0,4,496,215,109,85,0,24,106,258
"Museums, Historical Sites, and Similar Institutions.................................................",1,0,0,0,0,1,4,3,1,1,0,0,2,0
"Amusement, Gambling, and Recreation Industries...................................................",6,2,1,1,0,4,154,140,76,12,64,0,64,69
