row_label,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before election,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before election,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before election,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before election,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in certification
All representation elections,3467,98,71,3298,3044,93,64,2887,34,1,2,31,389,4,5,380
Rerun required,,,68,,,,61,,,,2,,,,5,
Runoff required,,,3,,,,3,,,,0,,,,0,
Consent elections,15,1,0,14,14,1,0,13,0,0,0,0,1,0,0,1
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
Stipulated elections,2963,71,45,2847,2576,68,41,2467,26,0,1,25,361,3,3,355
Rerun required,,,43,,,,39,,,,1,,,,3,
Runoff required,,,2,,,,2,,,,0,,,,0,
Regional Director-directed,486,26,26,454,454,24,23,407,5,1,1,3,27,1,2,24
Rerun required,,,25,,,,22,,,,1,,,,2,
Runoff required,,,1,,,,1,,,,0,,,,0,
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
Expedited-Sec. 8(b)(7)(C),3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
Rerun required,,,0,,,,0,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
