row_label,col_1,col_2,col_3
Hearingscompleted………………………………………………..,45,5,36
Decisions issued afterhearing……………………………………..,65,5,58
ByRegionalDirectors………………………………………….,54,5,47
ByBoard………………………………………………………..,11,0,11
Transferred by Regional Directors for initial decision ……...,0,0,0
Review of Regional Directors' decisions:,,,
Requests for review received…………………………….,33,1,30
Withdrawn before request ruledupon……………………,5,0,4
"Board action on requests ruled upon, total……………….",29,4,24
Granted………………………………………………..,7,0,7
Denied………………………………………………...,14,2,11
Remanded……………………………………………..,9,2,7
"Withdrawn after request granted, before Board review ….",0,0,0
"Board decision after review, total………………………..",11,0,11
Regional Directors' decisions:,,,
Affirmed…………………………………………...,4,0,4
Modified…………………………………………...,1,0,1
Reversed…………………………………………...,6,0,6
