row_label,col_1,col_2
,Volume,Page
Hooven Letters Inc_,43,1309
Howe Scale Co,47,1399
Humble Oil & Refining Co,48,1118
Idaho Falls Bonded Warehouse and Idaho Traffic Assn,48,1084
Idaho Falls Potato Growers Assn. and Idaho Traffic Assn,48,1084
Idaho Refining Co,47,1127
"Ideal Brass Works, Wright Products, Inc",45,509
Industrial Cotton Mills Co,50,855
Industrial Life & Health Ins. Co,47,395
Interstate Folding Box Co,47,1192
Interstate Mechanical Laboratories Inc,48,551
Iowa Electric Co,50,981
Jasper Chair Co,46,528
"Jergens, Andrew, Co. of California and Ohio",43,457
Johnson Steel & Wire Co,42,1051
Kaplan Brothers,45,799
"Karp Metal Products Co., Inc",42,119
Kentucky-Tenessee Clay Co,49,252
Kilgore Mfg. Co,49,992
Knipchild Dehydrater Co,45,1027
"Kohen-Ligon-Folz, Inc",46,1082
Leach Relay Co,45,744
"Leatherwear Co., Inc",48,1320
"Lettie Lee, Inc",45,448
Leland-Gifford Co,48,120
"Life Insurance Co. of Virginia, The",49,1230
Lindstrom Hatcheries,49,776
"McLachlan, H., & Co., McLan Hat Co., E. Fenton",45,1113
"Martin-Nebraska, The Glenn L., Co",48,587
"Maxson, W. L., Inc",44,1136
Medo Photo Supply Corp,43,989
Meisel Press Mfg. Co,45,889
Merrimack Mfg. Co,49,89
Metal Textile Corp. of Delaware,47,743
Miami Broadcasting Co,44,257
"Modern Welding Co., Barnard, John G. d/b/a",47,348
"Monsieur Henri Wines & Feinberg, Harry",44,1310
Morton-Davis Co,43,394
Mount Clemens Pottery Co. & S. S. Kresge Co,41,714
N & WOverall Mfg. Co,48,145
"National Laundry, Inc",47,961
