row_label,Total,Number of cases / A. F. of L. affiliates,Number of cases / C. I. O. affiliates,Number of cases / Unaffiliated unions,Number of cases / Individuals or employers,Total number of workers involved
All cases,,,,,,
"Cases pending July 1, 1946",4605,1716,2093,635,161,
Cases received July 1946-June 1947,14909,6269,6308,1917,415,
Cases on docket July 1946-June 1947,19514,7985,8401,2552,576,
Cases closed July 1946-June 1947,14456,5971,6104,1976,405,
"Cases pending June 30, 1947",5058,2014,2297,576,171,
Unfair labor practice cases,,,,,,
"Cases pending July 1, 1946",2225,743,1130,226,126,2853079
Cases received July 1946-June 1947,4232,1873,2001,401,257,3158190
Cases on docket July 1946-June 1947,6457,2316,3131,627,383,6011269
Cases closed July 1946-June 1947,4014,1464,1887,423,240,2959800
"Cases pending June 30, 1947",2443,852,1244,204,143,3051469
Representation cases,,,,,,
"Cases pending July 1, 1947",2380,973,963,409,35,588701
Cases received July 1946-June 1947,10677,4696,4307,1516,158,1387731
Cases on docket July 1946-June 1947,13057,5669,5270,1925,193,1976432
Cases closed July 1946-June 1947,10442,4507,4217,1553,155,1526130
"Cases pending June 30, 1947",2615,1162,1053,372,28,450302
