row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Totals -- all types,12,10,2,4,3,1,6,5,1,2,2,0,0,0,0
NLRB-initiated actions or interventions,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0
Motion to file Bd's late proof of claim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To stay district court § 301 action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To enjoin local ordinance as preempted,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0
Action by other parties,10,9,1,3,2,1,5,5,0,2,2,0,0,0,0
To review:,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Prosecutorial discretion,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Nonfinal/representation orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To restrain NLRB from:,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Enforcing Board subpoenas,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Proceeding in R case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceeding in unfair labor practice case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To compel NLRB to:,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
Issue complaint,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
Respond to discovery,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Issue decision or take specific action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,5,4,1,2,1,1,1,1,0,2,2,0,0,0,0
Motion to disallow U's claim,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Review of Bd's decision to quash 10(k) hearing,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Suit re removal of Plaintiff's name from internal U election ballot,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Intervention to argue Collateral Estoppl of Prior Bd decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suit alleging fraudulent and corrupt conduct by Bd agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAJA,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Suit for violation of constitutional rights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
