Category,Total rerun elections Number,Total rerun elections Percent by type,Union certified Number,Union certified Percent by type,No union chosen Number,No union chosen Percent by type,Outcome of original election reversed Number,Outcome of original election reversed Percent by type
All representation elections,202,100.0,68,33.7,134,66.3,61,30.2
By type of case,,,,,,,,
RC cases,196,100.0,65,33.2,131,66.8,59,30.1
RM cases,3,100.0,1,33.3,2,66.7,1,33.3
RD cases,3,100.0,2,66.7,1,33.3,1,33.3
By type of election,,,,,,,,
Consent elections,36,100.0,15,41.7,21,58.3,14,38.9
Stipulated elections,94,100.0,34,36.2,60,63.8,32,34.0
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,63,100.0,18,28.6,45,71.4,14,22.2
Board-directed elections,9,100.0,1,11.1,8,88.9,1,11.1
