row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
Total all circuits,72,402,58,80.5,311,77.4,4,5.6,25,6.2,3,4.2,23,5.7,2,2.8,16,4.0,5,6.9,27,6.7
"Boston, MA……..",1,12,1,100.0,11,91.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.3,0,0.0,0,0.0
"New York, NY….",8,19,6,75.0,15,78.9,0,0.0,1,5.3,0,0.0,2,10.5,1,12.5,0,0.0,1,12.5,1,5.3
"Philadelphia, PA..",2,21,2,100.0,18,85.6,0,0.0,1,4.8,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0,1,4.8
"Richmond, VA….",7,35,5,71.4,26,74.3,1,14.3,2,5.7,0,0.0,2,5.7,0,0.0,3,8.6,1,14.3,2,5.7
"New Orleans, LA.",4,26,3,75.0,21,80.8,1,25.0,3,11.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.7
"Cincinnati, OH…..",5,67,3,60.0,56,83.5,0,0.0,5,7.5,2,40.0,1,1.5,0,0.0,2,3.0,0,0.0,3,4.5
"Chicago, IL……...",3,31,3,100.0,24,77.4,0,0.0,1,3.2,0,0.0,2,6.5,0,0.0,3,9.7,0,0.0,1,3.2
"St. Louis, MO…...",2,20,2,100.0,16,80.0,0,0.0,3,15.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0
"San Francisco, CA",14,25,10,71.5,19,76.0,1,7.1,0,0.0,1,7.1,2,8.0,0,0.0,1,4.0,2,14.3,3,12.0
"Denver, CO…..…",1,16,1,100.0,14,87.4,0,0.0,1,6.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.3
"Atlanta, GA..……",3,16,3,100.0,14,87.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5
"Washington, DC...",22,114,19,86.5,77,67.5,1,4.5,8,7.0,0,0.0,13,11.4,1,4.5,5,4.4,1,4.5,11,9.7
