row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections.............................................,271,119,152,138,90.8,14,9.2
By type of case:,,,,,,,
RC cases................................................................,239,111,128,117,91.4,11,8.6
RMcases................................................................,3,1,2,2,100.0,0,0.0
RD cases................................................................,29,7,22,19,86.4,3,13.6
By type of election:,,,,,,,
Consent elections....................................................,1,1,0,0,0.0,0,0.0
Stipulated elections................................................,143,94,49,44,89.8,5,10.2
Expedited elections................................................,0,0,0,0,0.0,0,0.0
Regional Director-directed elections......................,127,24,103,94,91.3,9,8.7
Board-directed elections........................................,0,0,0,0,0.0,0,0.0
