row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections .. .. ..... ..,3975,143,3.6,85,2.1,34,0.9,177,4.5,119,3.0
By type of case,,,,,,,,,,,
In RC cases,3.294,115,3.5,78,2.4,32,1.0,147,4.5,110,3.3
In RMcases,95,4,4.2,2,2.1,1,1 1,5,5.3,3,3.2
,586,24,4.1,5,0.9,I,0.2,25,43,6,1.0
By type of election-,,,,,,,,,,,
Consent elections,42,1,2.4,1,2.4,o,,1,2.4,1,2.4
Stipulated elections,3337,108,32,62,1.9,22,07,130,3.9,84,2.5
Expedited elections,4,2,50.0,o,,0,,2,50.0,0,
Regional Duector-directed elections,581,32,5.5,22,38,12,2.1,44,7.6,34,5.9
Board-directed elections ..... ...... ..... ..,11,0,,o,,o,,o,,o,
