row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
I.-9,1486,0,933,- 30-3-,--tor,-11-8-,----61,---13.,328,17 9
10-19,1196,17 7,623,20 3,188,13.5,76,164,309,169
20-29,812,12 0,360,11 7,175,12 6,53,11 4,224,122
30-39,545,80,237,7 7,120,86,37,80,151,82
10-49,395,58,152,4 9,100,7 2,21,4 5,122,6 7
50-59,293,4 3,122,4 0,83,60,15,32,73,40
50-69,232,34,85,28,62,4 5,15,32,70,3 8
70-79,171,2.5,52,1 7,50,3 6,17,3 7,52,28
30-89,141,21,44,14,41,29,10,22,46,25
10-99,133,20,41,1 3,42,3 0,12,2 6,38,2.1
1.00-149,445,6 6,148,4 8,117,8 4,39,8 4,141,7.7
150-199,211,3 1,71,2.3,59,4 2,16,3 5,65,3 6
200-299,263,39,73,24,74,5 3,29,6 3,87,4.7
300-399,122,1 8,38,1.2,29,2 1,12,2 6,43,2 3
100-499,95,1 4,29,.9,26,1 9,15,3.2,25,1.4
500-599,39,.6,7,.2,13,.9,4,.9,15,.8
600-799,47,.7,14,5,16,1 1,7,1 5,10,.5
800-999,38,.6,14,5,6,4,8,1 7,10,5
"1,000-1,995",53,8,18,.6,16,1 1,7,1 5,12,.7
"2,000-2,999",26,.4,8,.3,5,4,4,9,9,5
"3,000-3,999",6,1,1,(I),3,2,1,.2,1,.1
"4,000-4,999",7,1,3,.1,2,.1,2,.4,0,.o
"5,000-9,999",2,(0,' 0,.o,o,o,1,.2,1,.1
"10,000-14,999",4,1,2,.1,1,1,1,.2,0,.0
"15,000-20,000__ ___",3,(I),0,0,2,.1,1,.2,0,.0
