row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,2020,82,4.1,20,1.0,8,0.4,90,4.5,28,1.4
By type of cases:,,,,,,,,,,,
In RC cases...............................................,1688,67,4.0,18,1.1,8,0.5,75,4.4,26,1.5
In RMcases..............................................,26,1,3.8,0,0.0,0,0.0,1,3.8,0,0.0
In RD cases...............................................,306,14,4.6,2,0.7,0,0.0,14,4.6,2,0.7
By type of election:,,,,,,,,,,,
Consent elections......................................,74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,1676,21,1.3,9,0.5,5,0.3,26,1.6,14,0.8
Expedited elections...................................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,270,61,22.6,11,4.1,3,1.1,64,23.7,14,5.2
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
