row_label,Total reruns elections / Number,Total reruns elections / Percent by type,Union certified / Number,Union certified / Percent by type,No union chosen / Number,No union chosen / Percent by type,Outcome of original election reversed / Number,Outcome of original election reversed / Percent by type
All representation elections,151,100.0,51,33.8,100,66.2,45,29.8
By type of case:,,,,,,,,
RC cases,141,100.0,45,31.9,96,68.1,43,30.5
RM cases,7,100.0,5,71.4,2,28.6,2,28.6
RD cases,3,100.0,1,33.3,2,66.7,0,
By type of election:,,,,,,,,
Consent elections,21,100.0,3,14.3,18,85.7,6,28.6
Stipulated elections,87,100.0,30,34.5,57,65.5,25,28.7
Expedited elections,1,100.0,0,,1,100.0,0,
Regional director-directed elections,41,100.0,18,43.9,23,56.1,14,34.1
Board-directed elections,1,100.0,0,,1,100.0,0,
