row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
North Carolina..........................................,3,2,1,1,0,1,62,59,27,20,7,0,32,29
South Carolina..........................................,1,0,0,0,0,1,31,27,11,11,0,0,16,0
Virginia....................................................,4,0,0,0,0,4,257,233,97,43,54,0,136,0
West Virginia............................................,8,3,1,2,0,5,457,319,166,27,139,0,153,254
South Atlantic......................................,43,13,4,9,0,30,2979,2584,1194,554,621,19,1390,1030
Iowa..........................................................,4,2,1,1,0,2,74,69,31,13,18,0,38,55
Kansas......................................................,1,0,0,0,0,1,2,2,0,0,0,0,2,0
Minnesota..................................................,19,2,1,1,0,17,802,697,310,176,134,0,387,107
Missouri....................................................,10,5,2,3,0,5,419,353,201,99,102,0,152,335
Nebraska....................................................,2,0,0,0,0,2,72,60,25,0,25,0,35,0
North Dakota............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West North Central..............................,36,9,4,5,0,27,1369,1181,567,288,279,0,614,497
Arkansas....................................................,2,1,1,0,0,1,107,86,40,40,0,0,46,50
Louisiana..................................................,3,1,0,1,0,2,55,43,30,0,30,0,13,48
Oklahoma..................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas........................................................,8,3,2,1,0,5,673,630,330,277,52,1,300,597
West South Central..............................,13,5,3,2,0,8,835,759,400,317,82,1,359,695
"Total, all States and areas....................",364,117,45,64,8,247,27625,23843,13055,3998,5600,3457,10788,14940
