row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,322,100.0,130,40.4,185,57.4,7,2.2
By type of case:,,,,,,,,
RC cases,287,100.0,122,42.5,160,55.8,5,1.7
RM cases,3,100.0,2,66.7,1,33.3,0,
RD cases,32,100.0,6,18.8,24,75.0,2,6.2
By type of election:,,,,,,,,
Consent elections,1,100.0,0,,1,100.0,0,
Stipulated elections,227,100.0,91,40.1,132,58.1,4,1.8
Expedited elections,1,100.0,0,,1,100.0,0,
Regional Director-directed elections,93,100.0,39,41.9,51,54.9,3,3.2
Board-directed elections,0,,0,,0,,0,
