row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. courts of appeals,158,135,19,0,4,,,,,,
On petitions for review and/or enforcement,120,101,15,0,4,100.0,100.0,,100 0,10779,100.0
Board orders affirmed in full,73,61,10,0,2,60.4,66.7,,50.0,7096,65.8
Board orders affirmed with modification,10,10,0,0,0,9.9,,,,1.454,13.5
Remanded to Board,9,5,2,0,2,5.0,13.3,,50.0,538,5.0
Board orders partially affirmed and partially remanded,4,4,0,0,0,40,,,,221,2.1
Board orders set aside,24,21,3,0,0,20.8,20.0,,,1470,13.6
On petitions for contempt,38,34,4,0,0,100.0,100.0,,,,
"Compliance after filing of petition, before court order",12,12,0,0,0,35.3,,,,,
Court orders holding respondent in contempt,16,14,2,0,0,41.2,50.0,,,,
Court orders denying petition..,6,5,1,0,0,14.7,25.0,,,,
Court orders &ecru% compliance without contempt adjudication,4,3,1,0,0,8.8,250,,,,
Contempt petitions withdrawn without compliance,0,0,0,0,0,,,,,,
Proceedings decided by U.S. Supreme Court3,0,0,0,0,0,,,,,253,100.0
Board orders affirmed in full,0,0,0,0,0,,,,,152,60 1
Board orders affumed with modification,0,0,0,0,0,,,,,18,7.1
Board orders set aside,0,0,0,0,0,,,,,45,17.8
Remanded to Board,0,0,0,0,0,,,,,19,7.5
Remanded to court of appeals,0,0,0,0,0,_,_,_,_,16,6.3
Board's request for remand or modification of enforcement order denied,0,0,0,0,0,,,,,1,04
Contempt cases remanded to court of appeals,0,0,0,0,0,,,,,1,0.4
Contempt cases enforced,0,0,0,0,0,,,,,1,0.4
