row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Monetary Authorities - Central Bank......................,28,21,19,0,2,0,0,0,0,7,5,0,2,0,0,0
Credit Intermediation and Related Activities..........,27,20,18,2,0,0,0,0,0,6,5,0,1,1,0,0
"Securities, Commodity Contracts and Other Intermediation and Related Activities....................",5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Insurance Carriers and Related Activities..............,21,20,17,2,1,0,0,0,0,1,1,0,0,0,0,0
"Funds, Trusts and Other Financial Vehicles (U.S. Only)........................................................................",13,9,7,2,0,0,0,0,0,4,3,0,1,0,0,0
Finance and Insurance........................................,94,75,65,7,3,0,0,0,0,18,14,0,4,1,0,0
Real Estate..............................................................,212,194,116,62,14,1,0,0,1,17,15,1,1,0,1,0
Rental and Leasing Services....................................,115,79,60,15,2,0,0,0,2,31,26,0,5,4,0,1
Owners and Lessors of Other Non-Financial Assets......................................................................,8,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Real Estate and Rental and Leasing..................,335,281,181,80,16,1,0,0,3,48,41,1,6,4,1,1
"Professional, Scientific and Technical Services",255,199,158,36,4,0,1,0,0,48,46,0,2,3,0,5
Management of Companies and Enterprises......,63,53,35,17,1,0,0,0,0,8,8,0,0,2,0,0
Administrative and Support Services......................,1941,1639,1183,423,21,4,1,1,6,279,233,4,42,12,2,9
Waste Management and Remediation Services......,473,366,311,52,0,3,0,0,0,99,81,2,16,3,0,5
"Administrative and Support, Waste Management and Remediation Services................",2414,2005,1494,475,21,7,1,1,6,378,314,6,58,15,2,14
Educational Services..........................................,311,240,202,34,4,0,0,0,0,64,45,1,18,3,1,3
Ambulatory Health Care Services..........................,379,297,261,31,4,0,0,1,0,79,61,1,17,1,0,2
Hospitals..................................................................,1366,1186,899,269,4,0,1,13,0,155,111,1,43,6,0,19
Nursing and Residential Care Facilities..................,1452,1125,956,152,2,0,2,13,0,310,232,4,74,6,0,11
Social Assistance....................................................,324,253,215,35,2,0,0,1,0,66,46,1,19,1,1,3
Health Care and Social Assistance....................,3521,2861,2331,487,12,0,3,28,0,610,450,7,153,14,1,35
"Performing Arts, Spectator Sports and Related Industries................................................................",231,192,118,67,4,0,3,0,0,36,34,0,2,1,0,2
