row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. courts of appeals and other courts………..,74,66,6,0,2,89.2,8.1,,2.7,,
On proceedings for review and/or enforcement………...……….......,62,57,3,0,2,77.4,4.8,,3.2,11754,100.0
Board orders affirmed in full…………………………………...,46,42,2,0,2,91.3,4.3,,4.3,7769,66.1
Board orders affirmed with modification……………………….,3,3,0,0,0,100.0,,,,1545,13.1
RemandedtotheBoard…………………………………………,3,3,0,0,0,100.0,,,,588,5.0
Board orders partially affirmed and partially remanded ………..,0,0,0,0,0,0.0,0.0,,,262,2.2
Board orderssetaside…………………………………………..,10,9,1,0,0,90.0,10.0,,,1590,13.5
On petitionsforcontempt……………………………………………,12,9,3,0,0,75.0,25.0,,,,
Ancillary proceedings in district courts and/or bankruptcy courts,29,28,1,0,0,96.6,3.4,,,,
TotalCourtOrders…………………………………………………..,40,36,4,0,0,90.0,10.0,,,,
"Compliance after filing of petition, before court order …..…......",29,27,2,0,0,93.1,6.9,,,,
Court orders holding respondent in contempt ………………......,3,2,1,0,0,66.7,33.3,,,,
Court orders denying petition or discontinuing proceedings at,4,4,0,0,0,100.0,,,,,
CLCBrequest…………………………………………………… Court orders directing compliance without contempt adjudication…………..…………………………………………,4,3,1,0,0,75.0,25.0,,,,
Proceedings decided by U.S. Supreme Court 3 ………………………….,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full……………………………..………...,0,0,0,0,0,,,,,155,59.8
Board orders affirmed with modification…………………………...,0,0,0,0,0,,,,,18,6.9
Board orders setaside……………………………………………....,0,0,0,0,0,,,,,46,17.8
RemandedtotheBoard………………………….………………….,0,0,0,0,0,,,,,20,7.7
Remanded to court of appeals………………………………...…….,0,0,0,0,0,,,,,17,6.6
Board's request for remand or modification of enforcement order denied………….…………………………...…………………….…,0,0,0,0,0,,,,,1,0.4
Contempt cases remanded to court of appeals……………………...,0,0,0,0,0,,,,,1,0.4
Contempt casesenforced……………………..…………………….,0,0,0,0,0,,,,,1,0.4
