row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,615,100.0,202,32.8,372,60.5,41,6.7
By type of case,,,,,,,,
RC cases,515,100.0,179,34.8,324,62.9,12,2.3
RM cases,24,100.0,4,16.7,12,50.0,8,33.3
RD cases,76,100.0,19,25.0,36,47.4,21,27.6
By type of election,,,,,,,,
Consent elections,11,100.0,4,36.4,6,54.5,1,9.1
Stipulated elections,461,100.0,146,31.7,286,62.0,29,6.3
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,134,100.0,51,38.1,72,53.7,11,8.2
Board-directed elections,9,100.0,1,11.1,8,88.9,0,0
