row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,2135,54.8,1169,1164,5,,966,136888,55627,55551,76,,81261
Other local unions..............................,112,63.4,71,,1,70,41,8932,4528,,653,3875,4404
Other national unions........................,80,63.8,51,,51,,29,5532,2302,,2302,,3230
1-union elections..........................,2327,55.5,1291,1164,57,70,1036,151352,62457,55551,3031,3875,88895
National v. Local..............................,5,100.0,5,,1,4,0,342,342,,97,245,0
Local v. Local....................................,8,100.0,8,,,8,0,1921,1921,,,1921,0
AFL-CIO v. AFL-CIO......................,59,81.4,48,48,,,11,4848,3641,3641,,,1207
AFL-CIO v. Local............................,32,90.6,29,17,1,11,3,5832,5483,1635,16,3832,349
AFL-CIO v. National........................,9,88.9,8,6,2,,1,530,347,194,153,,183
National v. National..........................,14,100.0,14,,14,,0,481,481,,481,,0
2-union elections..........................,127,88.2,112,71,18,23,15,13954,12215,5470,747,5998,1739
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO........................................,1,100.0,1,1,,,0,14,14,14,,,0
AFL-CIO v. AFL-CIO v. National....,1,100.0,1,1,0,,0,116,116,116,0,,0
National v. Local v. Local................,1,100.0,1,,0,1,0,26,26,,0,26,0
3 (or more)-union elections..........,3,100.0,3,2,0,1,0,156,156,130,0,26,0
Total RC elections........................,2457,57.2,1406,1237,75,94,1051,165462,74828,61151,3778,9899,90634
