row_label,col_1,col_2,col_3,col_4,col_5,col_6
Complaints issued,306,289,306,289,,
Notices of hearing issued,1534,1309,,,1534,1309
Cases heard,1600,1402,233,219,1427,1183
Intermediate Reports or proposed findings_,186,178,186,178,,
Decisions issued,2025,1748,242,230,1783,1518
Decisions and orders,193,183,193,183,,
Decisions and consent orders,49,47,49-,47,,
Elections directed 2,1189,975,,,1189,975
Certifications or dismissals after stipu- lated elections,438,426,,,438,426
Certifications after prehearing elec- tions and stipulation,28,27,,,28,27
Certifications or dismissals on the record,114,76,,,114,76
Certifications on record after prehear- ing elections,14,14,,,14,14
