row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1938",1449,,42.1,551957,,58.2
"Cases received July 1, 1938, to June 30, 1939_",1993,,57.9,396499,,4L 8
Total cases on docket,3442,,100.0,948436,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,904,47.0,26.3,102493,' 40.0,10.8
By dismissal,203,10.5,5.9,23720,9.2,2.5
By withdrawal,590,30.7,17.1,77743,30.4,8.2
Otherwise,15,.8,.4,8793,3.4,.9
Total eases closed before issuance of complaint,1712,89.0,49.7,212749,83.0,' ' 22. 4
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,18,. 9,. 5,3177,1.2,.3
By settlement after hearing,21,1.1,.6,3370,1.3,.3
By dismissal before hearing,8,.4,. 2,5084,2.0,
By dismissal after hearing,6,. 3,. 2,484,.2,. 1
By withdrawal before hearing,8,.4,. 2,679,.3,. 1
By withdrawal after hearing,8,.4,.2,1463,.6,.1
By intermediate report finding no violation,5,.3,.2,263,. 1,.3
By compliance with intermediate re- port,14,. 7,.4,2206,.9,. 2
By dismissal by Board decision,15,.8,.5,8549,2.2,.6
By compliance with Board decision__ _ _,109,5.7,3.2,21072,8.2,2.2
Total cases closed after issuance of complaint,212,11.0,. _. 0. 2,43347,17.0,4.7
"Total cases closed July 1, 1938, to 30, 1939 -",!,10070,,"- 256,096",100. I,
,1518,,,,,
"Cases pending June 30, 1939",,,4-ti,692360,,72.9
