row_label,Total — Number,Total — Percent,By employer — Number,By employer — Percent,By union — Number,By union — Percent,By both parties — Number,By both parties — Percent
All representation elections,573,100.0,249,43.5,289,50.4,35,6.1
By type of case,,,,,,,,
RC cases,525,100.0,239,45.5,262,49.9,24,4.6
RM cases,11,100.0,3,27.3,5,45.4,3,27.3
RD cases,37,100.0,7,18.9,22,59.5,8,21.6
By type of election,,,,,,,,
Consent elections,10,100.0,3,30.0,5,50.0,2,20.0
Stipulated elections,367,100.0,167,45.5,185,50.4,15,4.1
Expedited elections,6,100.0,0,0.0,3,50.0,3,50.0
Regional director-directed elections,175,100.0,70,40.0,92,52.6,13,7.4
Board-directed elections,15,100.0,9,60.0,4,27.7,2,13.3
