row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
East South Central,1103,265,6.3,838,7.9,+31. 8,+70.0
Kentucky,277,71,1.7,208,1.9,+24.6,+08.1
Tennessee,401,95,2.2,306,2.9,+13.1,+44.8
Alabama,281,71,1.7,210,2.0,+47.9,+68.6
Mississippi,144,28,.7,118,1.1,+138.3,+176.2
West South Central,1228,337,8.0,891,8.4,+52.5,+49.0
Arkansas,175,as,. 7,147,1.4,+47.4,+189.7
Louisiana,318,127,8.0,189,1.8,+188.6,+70.8
Oklahoma,151,42,1.0,109,1.0,+44.8,+22.6
Tease,586,140,3.3,446,4.2,+8.5,+28.9
Mountain,331,83,20,248,2.3,-8.8,+14.8
Montana,32,9,.2,23,.2,.0,+109.1
Idaho,30,e,.1,24,.2,-53.8,-7.7
Wyoming,20,3,.1,17,.2,+50.0,-10.5
Colorado,162,41,1.0,121,1.1,-2.4,+8.0
New Mexico,26,7,.2,19,.2,.0,+58.3
Arizona,43,10,.3,33,.3,.0,+13.8
Utah,12,6,.1,8,.1,-14.3,.0
Nevada,6,1,,5,(2),.0,-1-400.0
Pacific,1890,542,12.8,1348,12.6,+8.4,- -1-1 -13.
Washington-,199,51,1.2,148,1.4,+24.4,+2.8
Oregon,"1,443 248",83 428,1.5 10.1,"185 1,015",1.7 9.5,+80.0 +. 9,+20. 1 +14.0
Outlying areas,187,43,1.0,144,,,
,,,,,1.3,-15 7,+30. 6
Alaska,10,6,.1,4,(1),+600.0,+300.0
Hawaii Puerto Rico,158 21,27 10,.7 .2,11,,+125.0 -73.7,+55. 4 -57.7
,,,,,1291.2 .1,,
