Section,Injunction proceedings — Total proceedings,"Injunction proceedings — Pending in appellate / district court Oct. 01, 2002",Injunction proceedings — Filed in appellate / district court fiscal year 2003,Disposition of injunctions — Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,"Pending in appellate / district court Sept. 30, 2003"
Under Sec. 10(e) total,0,0,0,0,0,0,0,0,0
Under Sec. 10(j) total,22,7,15,20,11,3,2,4,2
8(a)(1)(2)(3),1,0,1,1,1,0,0,0,0
8(a)(1)(2)(3)(5),1,0,1,1,1,0,0,0,0
8(a)(1)(2)(3) 8(b)(1)(A),1,1,0,1,0,0,0,1,0
8(a)(1)(2)(3) 8(b)(1)(A)(A)(2),1,1,0,1,0,0,0,1,0
8(a)(1)(2)(5) 8(b)(1)(A),1,1,0,1,0,1,0,0,0
8(a)(1)(3),4,1,3,4,2,1,1,0,0
8(a)(1)(3)(4)(5),3,0,3,3,2,0,1,0,0
8(a)(1)(3)(5),5,3,2,5,1,2,0,1,0
8(a)(1)(5),5,2,3,3,2,0,0,1,2
Under Sec. 10(l) total,6,1,5,5,1,3,1,0,1
8(b)(4)(A),2,0,2,2,0,1,1,0,0
8(b)(4)(B),2,1,1,2,0,1,0,0,1
8(b)(4)(C),1,0,1,1,0,1,0,0,0
