Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
17-CC-72,"Carpenters, Local 928, and Hod Carriers, Local 676, et al. (Markwell & Hartz Contractors)","Oct. 12, 1957",10 (l),,,"Oct. 17, 1957",,,
"2-CC-456, 74","*Teamsters, Local 138 (Sobel Chemical Co.)","Oct. 14, 1957",10 (l),,,,,"Dec. 27, 1957","June 9, 1958"
1-CC-191,"Carpenters, Local 1, et al. (Boening & Brzezinski Co.)","Oct. 14, 1957",10 (l),,,,,"Apr. 24, 1958","Apr. 24, 1958"
1-CC-191,"Building Construction Trades Council of Metropolitan District (Sobonetcut, N.J.)","Oct. 21, 1957",10 (l),,,,,"Oct. 24, 1957",Settled.
"9-CC-105, CD-31, 32","*Teamsters, Local 627 (R G Wett Transportation & McJunkin)","Oct. 22, 1957",10 (l),,,"Nov. 1, 1957",,,
"1-CC-173-47, 30-CC-32","Plumbers, Local 53 (Larkin Co.)","Oct. 25, 1957",10 (l),,,,,"Jan. 27, 1958",Settled.
28-CC-12,"Coal Cutters, Local 534 (Dennison Poultry & Egg Co.)","Oct. 28, 1957",10 (l),,,,,"Jan. 30, 1958",
"22-CC-124, CB-43",Sheet Metal Workers Local 28 (York Corp.),"Oct. 28, 1957",10 (l),,,,,,Settled.
4-CC-101,"Marine Engineers Local 6, etc. (W.W. Burke Co.)","Nov. 1, 1957",10 (l),,,,,,
"33-CC-24, 25","Carpenters, Local 815 (Coty, Inc.) and Contractors of Texas","Nov. 1, 1957",10 (l),,,"Nov. 4, 1957",,,"June 26, 1958"
9-CC-127,"Carpenters, Local 122 (Associated General Contractors et al.)","Nov. 4, 1957",10 (l),,,,,,"Dec. 18, 1957"
1-CC-198,"*Teamsters, Local 1425 (Henke & Pillot, Division of Kroger Co.)","Nov. 4, 1957",10 (l),,,,,,"Dec. 18, 1957"
"22-CD-5, 6","Engineers, Operating Local 825 (Charles Bonham & Sons, Inc.)","Nov. 5, 1957",10 (l),"Nov. 18, 1957","Dec. 30, 1957",,,,"May 7, 1958"
"15-CC-71, 1-CC-167",Seafarers et al. (Spencer Derrick Corp.),"Nov. 5, 1957",10 (l),"Nov. 6, 1957","Nov. 27, 1957",,,,"Dec. 16, 1957"
2-CC-453,"Distribution Manufacturing Co. (Tile Industries Workers, Local 124 Trumix Concrete League of Oregon)","Nov. 14, 1957",10 (l),,,,,,
36-CC-54,Hatters (Sunnyside Cap Co.),"Nov. 15, 1957",10 (l),,,,,"Dec. 13, 1957",
"13-CC-157, 1-CC-198","Carpenters, Local 1128 (Anderson Corp.)","Nov. 21, 1957",10 (l),,,,,"Feb. 4, 1958",
13-CC-158,Carpenter (Del-Mar Cabinet Co. Inc.),"Nov. 21, 1957",10 (l),,,,,"Mar. 12, 1958",
