row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Repair and Maintenance..........................................,233,179,138,38,3,0,0,0,0,52,43,1,8,2,0,0
Personal and Laundry Services..............................,325,259,210,43,6,0,0,0,0,66,48,1,17,0,0,0
"Religious, Grantmaking, Civic, and Professional and Similar Organizations......................................",331,293,183,107,3,0,0,0,0,35,30,0,5,0,0,3
Private Households..................................................,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Other Services (except Public Administration)..,893,735,534,189,12,0,0,0,0,153,121,2,30,2,0,3
"Executive, Legislative, Public Finance and General Government..............................................",31,29,19,8,2,0,0,0,0,2,2,0,0,0,0,0
"Justice, Public Order, and Safety............................",79,57,49,7,1,0,0,0,0,20,18,0,2,2,0,0
Administration of Human Resource Programs........,5,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0
Administration of Environmental Quality Programs..................................................................,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Administration of Housing Programs, Urban Planning, and Community Development................",8,6,6,0,0,0,0,0,0,2,2,0,0,0,0,0
Administration of Economic Programs..................,4,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0
Space Research and Technology............................,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
National Security and International Affairs............,11,8,7,1,0,0,0,0,0,3,3,0,0,0,0,0
Public Administration........................................,144,112,92,17,3,0,0,0,0,29,26,0,3,3,0,0
Unclassified Establishments..............................,354,270,162,98,4,4,1,0,1,74,60,0,14,3,0,7
"Total, all industrial groups..................................",35872,30178,23036,6269,476,212,33,34,118,5299,4252,148,899,137,14,244
