row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Metalmining……………………………………………,2,1,1,0,0,1,1481,1231,499,499,0,0,732,22
Coalmining…………………………………………….,4,2,0,2,0,2,127,120,79,11,68,0,41,67
Oil and gas extraction…………………………………..,7,2,2,0,0,5,362,347,159,157,0,2,188,30
Mining and quarrying of nonmetallic minerals (exceptfuels)………………………………………….,12,7,6,1,0,5,246,230,103,60,43,0,127,148
Mining……………………………………………,25,12,9,3,0,13,2216,1928,840,727,111,2,1088,267
Construction……………………………………...,298,140,133,3,4,158,7582,6440,3256,3159,57,40,3184,3134
Wholesaletrade…………………………………..,189,85,81,1,3,104,11425,10581,4185,4053,45,87,6396,2432
Retailtrade……………………………………….,213,102,94,1,7,111,9468,7815,3715,3277,43,395,4100,4080
"Finance, insurance, and real estate……………….",45,29,27,0,2,16,1417,1273,611,530,0,81,662,490
U.S. PostalService……………………………….,4,3,2,0,1,1,321,257,144,90,0,54,113,198
Local and suburban transit and interurban highway passenger transportation………………………………,124,71,64,1,6,53,8670,6779,3639,3140,76,423,3140,4834
Motor freight transportation and warehousing………….,270,128,121,3,4,142,10604,9308,4677,4468,89,120,4631,4881
Water transportation……………………………………,19,9,8,0,1,10,691,606,325,249,24,52,281,268
Other transportation…………………………………….,62,34,28,0,6,28,3129,2625,1369,946,0,423,1256,1391
Communication…………………………………………,82,41,41,0,0,41,3709,3359,1559,1546,0,13,1800,1425
"Electric, gas, and sanitary services……………………...",137,78,75,1,2,59,6767,6054,3140,2776,26,338,2914,3172
"Transportation, communication, and other utilities",694,361,337,5,19,333,33570,28731,14709,13125,215,1369,14022,15971
"Hotels, rooming houses, camps, and other lodging places………………………………………………….",49,27,26,0,1,22,2988,2537,1191,1116,0,75,1346,1359
Personalservices………………………………………..,45,28,23,0,5,17,5743,4384,3702,3293,0,409,682,5221
"Automotive repair, services, and garages………………",55,21,20,0,1,34,1927,1511,732,680,0,52,779,728
Motionpictures…………………………………………,12,7,6,0,1,5,429,292,114,103,0,11,178,190
Amusement and recreation services (except motion pictures)………………………………………………,45,24,23,0,1,21,1648,1362,730,691,12,27,632,682
Healthservices………………………………………….,517,333,274,11,48,184,51234,43254,24080,20670,328,3082,19174,31419
Educationalservices…………………………………….,45,33,21,1,11,12,2184,1874,1190,779,10,401,684,1475
Membership organizations……………………………...,48,29,24,0,5,19,1511,1253,602,492,0,110,651,754
Business services .............................................................,239,141,92,12,37,98,12257,9749,5668,3771,370,1527,4081,6661
