row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
New England,963,18,234,.. 22,21,3,49,647,39,30
Maine,116,2,15,2,2,0,3,82,6,4
New Hampshire,49.,2,4,0,3,1,2,35,0,2
Vermont,21,1,4,0,0,0,0,16,0,0
Massachusetts,649,8,176,12,12,.2,30,269,25,15
Rhode Island,98,0,18,3,1,0,6,63,3,4
Connecticut,130,5,17,5,3,0,8,82,5,5
Middle Atlantic,2103,48,526,141,77,19,92,979,123,98
New York,1160,29,332,87,48,10,. 41,492,75,48
New Jersey,375,4,85,30,13,8,18,170,19,28
Pennsylvania,568,15,109,24,18,1,33,317,29,22
East North Central,2121,57,473,83,27,16,139,1118,78,90
Ohio,556,15,103,17,9,", 4",49,305,22,32
Indiana,279,7,43,9,7,6,28,161,10,8
Illinois,601,14,110,33,7,5,• 35,359,19,19
Michigan,475,13,96,21,2,1,21,279,16,26
Wisconsin,210,8,121,3,2,0,6,54,11,a
