row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
New Hampshire..............................,6,6,1,5,0,0,401,344,247,6,241,0,97,401
Rhode Island...................................,13,10,0,9,1,3,1183,1055,648,4,346,298,407,1043
Vermont..........................................,5,3,1,1,1,2,420,354,227,160,32,35,127,396
New England.............................,129,94,21,65,8,35,8735,7073,4378,788,2842,748,2695,6038
Alaska.............................................,13,9,5,4,0,4,428,375,276,44,224,8,99,353
American Samoa.............................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California........................................,165,112,40,66,6,53,9482,7359,4675,1140,3023,512,2684,5879
Federated States of Micronesia.......,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam...............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii.............................................,16,11,8,2,1,5,558,490,316,230,73,13,174,451
Marshall Islands..............................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands...............,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon............................................,38,24,4,19,1,14,1711,1446,861,141,626,94,585,1105
Palau...............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington.....................................,72,45,18,27,0,27,2966,2337,1472,465,1007,0,865,2337
Pacific........................................,304,201,75,118,8,103,15145,12007,7600,2020,4953,627,4407,10125
Delaware.........................................,7,5,2,3,0,2,308,266,188,29,159,0,78,214
District Of Columbia......................,27,24,4,9,11,3,1910,1150,949,89,462,398,201,1688
Florida.............................................,44,26,17,7,2,18,2625,2049,1185,431,728,26,864,1513
Georgia...........................................,20,14,10,3,1,6,648,565,310,197,57,56,255,421
Maryland.........................................,25,16,3,3,10,9,2718,1657,1035,423,403,209,622,2367
North Carolina................................,15,8,4,4,0,7,5519,4797,2421,110,2311,0,2376,4794
"South Carolina...............................,",9,7,5,1,1,2,427,401,164,146,12,6,237,114
Virginia...........................................,13,10,5,3,2,3,502,359,226,127,54,45,133,337
West Virginia..................................,7,4,3,1,0,3,653,602,296,249,47,0,306,104
South Atlantic............................,167,114,53,34,27,53,15310,11846,6774,1801,4233,740,5072,11552
Iowa................................................,18,6,3,3,0,12,532,499,207,71,136,0,292,218
Kansas.............................................,13,10,4,6,0,3,1577,1355,630,24,606,0,725,657
Minnesota....................................... Missouri..........................................,35,16,8,8,0 0,19 19,1631,1394,789,97,691 53,1 0,605 37,872
,41,22,11,11,,,2354,1740,924,346,578,0,816,1559
Nebraska.........................................,5,5,4,1,0,0,192,164,127,74,,,,192
North Dakota..................................,1,1,1,0,0,0,6,6,6,6,0,0,0,6
