row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1937",572,,18.1,90357,,30.3
"Cases received July 1,1937, to June 30, 1938_",2587,,81.9,208108,,69.7
Total cases on docket,3159,,100.0,298465,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,1190,52.0,37.7,81017,51.0,27.1
By dismissal,390,17.1,12.3,17877,11.3,6.0
By withdrawal,557,24.4,17.6,41510,26.2,13.9
By transfer to other agencies,46,2.0,1.5,4329,2.7,1.5
"Total cases closed before issuance of complaint,",2183,95.5,69.1,144733,91.2,48.5
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,31,1.4,1.0,2152,' 1.4,.7
By settlement after hearing,24,1.1,.8,1884,1.2,.8
By dismissal before issuance of Board decision_,3,.1,. 1,147,. 1,. 1
By withdrawal before issuance of Board decision_ By intermediate report finding no,' 18,. 8,. 6,6063,3.8,2.1
violation By compliance with intermediate report,8,. 3,. 2,1377,. 9,. 5
By dismissal by Board decision B y compliance with Board decision,2 17,. 1 .7,. 1 .5,"65 2,198",(1) 1.4,(9 .7
Total cases closed after issuance of complaint,103,4.5,3.3,13886,8.8,4.7
"Total cases closed July I, 1937 to June 30, 1938",2286,100.0,72.4,158619,100.0,53.2
"Cases pending June 30, 1938:",,,,,,
Before hearing,579,,18.3,73379,,24.5
After hearing:,,,,,,
Awaiting intermediate report,96,,3.0,28932,,9.7
Awaiting decision,121,,3.9,12529,,4.2
Awaiting compliance with cease and desist orders,77,,2.4,20006,,8.4
"Total cases pending June 30, 1938_ __",873,,27.6,139886,,46.8
