row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,573,42,531,401,75.5,130,24.5
By type of case,,,,,,,
RC cases,525,36,489,365,74.6,124,25.4
RM cases,11,3,8,8,100.0,0,0.0
RD cases,37,3,34,28,82.4,6,17.6
By type of election,,,,,,,
Consent elections,10,0,10,9,90.0,1,10.0
Stipulated elections,367,17,350,255,72.9,95,27.1
Expedited elections,6,0,6,5,83.3,1,16.7
Regional director-directed elections,175,19,156,126,80.8,30,19.2
Board-directed elections,15,6,9,6,66.7,3,33.3
