row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed ………………………..........,29741,100.0,,22966,100.0,5848,100.0,570,100.0,168,100.0,60,100.0,49,100.0,80,100.0
Agreement of the parties …………………………….........,9020,30.3,100.0,7804,34.0,965,16.5,199,34.9,1,0.6,6,10.0,19,38.8,26,32.5
Informal settlement ……………………………......,8982,30.2,99.6,7781,33.9,963,16.5,186,32.6,1,0.6,6,10.0,19,38.8,26,32.5
Before issuance of complaint …………….......,6548,22.0,72.6,5623,24.5,721,12.3,161,28.2,,,4,6.7,16,32.7,23,28.8
"After issuance of complaint, before opening of hearing ………………………….................",2294,7.7,25.4,2053,8.9,208,3.6,24,4.2,1,0.6,2,3.3,3,6.1,3,3.8
"After hearing opened, before issuance of administrative law judge's decision …........",140,0.5,1.6,105,0.5,34,0.6,1,0.2,0,,0,,0,,0,
Formal settlement …………………………….........,38,0.1,0.4,23,0.1,2,0.0,13,2.3,0,,0,,0,,0,
Before opening of hearing ………………........,33,0.1,0.4,18,0.1,2,0.0,13,2.3,0,,0,,0,,0,
Stipulated decision ………………….......,3,0.0,0.0,3,0.0,0,,0,,0,,0,,0,,0,
Consent decree ……………………….....,30,0.1,0.3,15,0.1,2,0.0,13,2.3,0,,0,,0,,0,
After hearing opened ……………………........,5,0.0,0.1,5,0.0,0,,0,,0,,0,,0,,0,
Stipulated decision ………………….......,0,,,0,,0,,0,,0,,0,,0,,0,
Consent decree ……………………….....,5,0.0,0.1,5,0.0,0,,0,,0,,0,,0,,0,
Compliance with ……………………………………........,622,2.1,100.0,575,2.5,39,0.7,5,0.9,0,,3,5.0,0,,0,
Administrative law judge's decision ……...…..,20,0.1,3.2,17,0.1,2,0.0,1,0.2,0,,0,,0,,0,
Board decision ………...……………………....,354,1.2,56.9,320,1.4,28,0.5,3,0.5,0,,3,5.0,0,,0,
Adopting administrative law judge's decision (no exceptions filed) ………....,204,0.7,32.8,190,0.8,12,0.2,2,0.4,0,,0,,0,,0,
Contested……………………………..…..,150,0.5,24.1,130,0.6,16,0.3,1,0.2,0,,3,5.0,0,,0,
