row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all...................................................................",5306,100.0,4399,100.0,137,100.0,770,100.0,94,100.0
"Certification issued, total.......................................................",3208,60.5,2815,64.0,30,21.9,363,47.1,49,52.1
After:,,,,,,,,,,
Consent election......................................................,14,0.3,13,0.3,0,0.0,1,0.1,0,0.0
Before notice of hearing.....................................,2,0.0,1,0.0,0,0.0,1,0.1,0,0.0
"After notice of hearing, before hearing closed..",12,0.2,12,0.3,0,0.0,0,0.0,0,0.0
"After hearing closed, before decision.................",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated election...................................................,2757,52.0,2394,54.4,24,17.5,339,44.0,34,36.2
Before notice of hearing.....................................,538,10.1,414,9.4,6,4.4,118,15.3,18,19.1
"After notice of hearing, before hearing closed...",2136,40.3,1906,43.3,17,12.4,213,27.7,14,14.9
"After hearing closed, before decision.................",83,1.6,74,1.7,1,0.7,8,1.0,2,2.1
Expedited election...................................................,3,0.1,0,0.0,3,2.2,0,0.0,0,0.0
Regional Director-directed election........................,356,6.7,335,7.6,2,1.5,19,2.5,12,12.8
Board-directed election...........................................,78,1.5,73,1.7,1,0.7,4,0.5,3,3.2
"By withdrawal, total..............................................................",1820,34.3,1468,33.4,81,59.1,271,35.2,40,42.6
Before notice of hearing...............................................,378,7.1,236,5.4,37,27.0,105,13.6,32,34.0
"After notice of hearing, before hearing closed.............",1246,23.5,1054,24.0,39,28.5,153,19.9,6,6.4
"After hearing closed, before decision...........................",63,1.2,53,1.2,2,1.5,8,1.0,0,0.0
After Regional Director's decision and direction of election...................................................................,122,2.3,116,2.6,3,2.2,3,0.4,2,2.1
After Board decision and direction of election............,11,0.2,9,0.2,0,0.0,2,0.3,0,0.0
"By dismissal, total..................................................................",278,5.2,116,2.6,26,19.0,136,17.7,5,5.3
Before notice of hearing...............................................,96,1.8,18,0.4,9,6.6,69,9.0,5,5.3
"After notice of hearing, before hearing closed.............",78,1.5,32,0.7,12,8.8,34,4.4,0,0.0
"After hearing closed, before decision...........................",7,0.1,4,0.1,0,0.0,3,0.4,0,0.0
By Regional Director's decision..................................,88,1.7,56,1.3,4,2.9,28,3.6,0,0.0
By Board decision........................................................,9,0.2,6,0.1,1,0.7,2,0.3,0,0.0
