row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total,all………………………………………….",5708,100.0,4731,100.0,137,100.0,840,100.0,128,100.0
"Certification issued,total…………………………………..",3693,64.7,3163,66.9,58,42.3,472,56.2,86,67.2
After:………………………………………………...,,,,,,,,,,
Consent election………………………………….,15,0.3,15,0.3,0,0.0,0,0.0,1,0.8
Before notice ofhearing………………………,2,0.0,2,0.0,0,0.0,0,0.0,1,0.8
"After notice of hearing, before hearing closed ..",13,0.2,13,0.3,0,0.0,0,0.0,0,0.0
"After hearing closed, before decision…………",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated election………………………………..,3225,56.5,2743,58.0,54,39.4,428,51.0,63,49.2
Before notice ofhearing………………………,729,12.8,542,11.5,16,11.7,171,20.4,49,38.3
"After notice of hearing, before hearing closed ..",2387,41.8,2101,44.4,37,27.0,249,29.6,14,10.9
"After hearing closed, before decision…………",109,1.9,100,2.1,1,0.7,8,1.0,0,0.0
Expedited election………………………………..,3,0.1,3,0.1,0,0.0,0,0.0,0,0.0
Regional Director-directed election ……………...,414,7.3,371,7.8,4,2.9,39,4.6,22,17.2
Board-directed election…………………………..,36,0.6,31,0.7,0,0.0,5,0.6,0,0.0
"By withdrawal,total………………………………………..",1658,29.0,1343,28.4,58,42.3,257,30.6,34,26.6
Before notice of hearing……………………………..,384,6.7,267,5.6,21,15.3,96,11.4,29,22.7
"After notice of hearing, before hearing closed………",1131,19.8,938,19.8,36,26.3,157,18.7,3,2.3
"After hearing closed, before decision………………..",42,0.7,39,0.8,0,0.0,3,0.4,1,0.8
After Regional Director's decision and direction of election…………………………………………….,100,1.8,98,2.1,1,0.7,1,0.1,1,0.8
After Board decision and direction of election ……...,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0
"Bydismissal,total………………………………………….",357,6.3,225,4.8,21,15.3,111,13.2,8,6.3
Before notice of hearing…………………,141,2.5,72,1.5,8,5.8,61,7.3,7,5.5
"After notice of hearing, before hearing closed",117,2.0,73,1.5,7,5.1,37,4.4,1,0.8
"After hearing closed, before decision",2,0.0,2,0.0,0,0.0,0,0.0,0,0.0
By Regional Director's decision,96,1.7,78,1.6,5,3.6,13,1.5,0,0.0
By Board decision…………………………………...,1,0.0,0,0.0,1,0.7,0,0.0,0,0.0
