row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. courts of appeals and other courts………..,90,88,2,0,9,97.8,2.2,,,,
On proceedings for review and/or enforcement………...……….......,79,77,2,0,9,97.5,2.5,,100.0,11906,100.0
Board orders affirmed in full…………………………………...,60,58,2,0,3,96.7,3.3,,33.3,7885,66.2
Board orders affirmed with modification……………………….,2,2,0,0,0,100.0,,,,1555,13.1
RemandedtotheBoard…………………………………………,9,9,0,0,6,100.0,,,66.7,598,5.0
Board orders partially affirmed and partially remanded ………..,1,1,0,0,0,100.0,,,0.0,269,2.3
Board orderssetaside…………………………………………..,7,7,0,0,0,100.0,,,0.0,1599,13.4
On petitionsforcontempt……………………………………………,11,11,0,0,0,100.0,,,,,
Ancillary proceedings in district courts and/or bankruptcy courts,12,12,0,0,0,100.0,,,,,
TotalCourtOrders…………………………………………………..,48,47,1,0,0,97.9,2.1,,,,
"Compliance after filing of petition, before court order …..…......",34,33,1,0,0,97.1,2.9,,,,
Court orders holding respondent in contempt ………………......,8,8,1,0,0,100.0,,,,,
Court orders denying petition or discontinuing proceedings at CLCBrequest……………………………………………………,1,1,0,0,0,100.0,,,,,
Court orders directing compliance without contempt adjudication…………..…………………………………………,5,5,0,0,0,100.0,,,,,
Proceedings decided by U.S. Supreme Court 3 ………………………….,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full……………………………..………...,0,0,0,0,0,,,,,155,59.8
Board orders affirmed with modification…………………………...,0,0,0,0,0,,,,,18,6.9
Board orders setaside……………………………………………....,0,0,0,0,0,,,,,46,17.8
RemandedtotheBoard………………………….………………….,0,0,0,0,0,,,,,20,7.7
Remanded to court of appeals………………………………...…….,0,0,0,0,0,,,,,17,6.6
Board's request for remand or modification of enforcement order denied………….…………………………...…………………….…,0,0,0,0,0,,,,,1,0.4
Contempt cases remanded to court of appeals……………………...,0,0,0,0,0,,,,,1,0.4
Contempt casesenforced……………………..…………………….,0,0,0,0,0,,,,,1,0.4
