row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"2,000 to 2,999....................................................",4989,5,0.2,100.0,2,0.2,0,0.0,1,1.0,2,0.2
"3,000 to 9,999....................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections.....................,28673,422,100.0,,138,100.0,10,100.0,3,100.0,271,100.0
Under 10............................................................,485,65,15.4,15.4,13,9.4,0,0.0,0,0.0,52,19.2
10 to 19..............................................................,1282,88,20.9,36.3,18,13.0,2,20.0,0,0.0,68,25.1
20 to 29..............................................................,1334,55,13.0,49.3,21,15.2,0,0.0,1,33.3,33,12.2
30 to 39..............................................................,1284,38,9.0,58.3,11,8.0,1,10.0,1,33.3,25,9.2
40 to 49..............................................................,1009,23,5.5,63.7,9,6.5,2,20.0,1,33.3,11,4.1
50 to 59..............................................................,1465,27,6.4,70.1,10,7.2,2,20.0,0,0.0,15,5.5
60 to 69..............................................................,977,15,3.6,73.7,10,7.2,0,0.0,0,0.0,5,1.8
70 to 79..............................................................,1422,20,4.7,78.4,8,5.8,0,0.0,0,0.0,12,4.4
80 to 89..............................................................,669,8,1.9,80.3,1,0.7,0,0.0,0,0.0,7,2.6
90 to 99..............................................................,538,6,1.4,81.8,1,0.7,2,20.0,0,0.0,3,1.1
100 to 109..........................................................,921,9,2.1,83.9,4,2.9,0,0.0,0,0.0,5,1.8
110 to 119..........................................................,1008,9,2.1,86.0,4,2.9,0,0.0,0,0.0,5,1.8
120 to 129..........................................................,1211,10,2.4,88.4,5,3.6,0,0.0,0,0.0,5,1.8
130 to 139..........................................................,681,5,1.2,89.6,3,2.2,0,0.0,0,0.0,2,0.7
140 to 149..........................................................,492,4,0.9,90.5,2,1.4,1,10.0,0,0.0,1,0.4
150 to 159..........................................................,859,6,1.4,91.9,4,2.9,0,0.0,0,0.0,2,0.7
160 to 169..........................................................,454,3,0.7,92.7,2,1.4,0,0.0,0,0.0,1,0.4
170 to 199..........................................................,1514,8,1.9,94.5,3,2.2,0,0.0,0,0.0,5,1.8
200 to 299..........................................................,2039,9,2.1,96.7,3,2.2,0,0.0,0,0.0,6,2.2
300 to 499..........................................................,2583,8,1.9,98.6,4,2.9,0,0.0,0,0.0,4,1.5
500 to 799..........................................................,2319,5,1.2,99.8,2,1.4,0,0.0,0,0.0,3,1.1
800 and Over .....................................................,4127,1,0.2,100.0,0,0.0,0,0.0,0,0.0,1,0.4
