row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Accommodation........................................,52,33,31,2,0,19,2614,2108,1313,1259,42,12,795,1337
Foodservices and Drinking Places............,51,24,22,1,1,27,2510,2167,1060,1034,13,13,1107,1218
Accommodation and Foodservices......,103,57,53,3,1,46,5124,4275,2373,2293,55,25,1902,2555
Repair and Maintenance............................,52,35,34,0,1,17,2196,1959,1008,1001,0,7,951,1088
Personal and Laundry Services................,41,24,24,0,0,17,1872,1607,924,921,2,1,683,1022
"Religious, Grantmaking, Civic, and Professional and Similar Organizations....",10,5,4,1,0,5,156,148,70,55,15,0,78,71
Private Households..................................,1,1,1,0,0,0,56,46,44,44,0,0,2,56
Other Services (except Public Administration)........................................,104,65,63,1,1,39,4280,3760,2046,2021,17,8,1714,2237
"Executive, Legislative, Public Finance and General Government..........................",1,1,1,0,0,0,87,79,51,51,0,0,28,87
"Justice, Public Order, and Safety..............",10,5,1,2,2,5,568,466,372,68,79,225,94,466
Administration of Human Resource Programs..................................................,2,2,2,0,0,0,68,58,48,48,0,0,10,68
Administration of Environmental Quality Programs..................................................,1,0,0,0,0,1,50,48,5,5,0,0,43,0
Administration of Economic Programs....,1,1,1,0,0,0,11,11,7,7,0,0,4,11
National Security and International Affairs......................................................,2,2,0,1,1,0,88,88,64,0,25,39,24,88
Public Administration..........................,17,11,5,3,3,6,872,750,547,179,104,264,203,720
Unclassified Establishments................,9,6,4,0,2,3,788,683,420,157,111,152,263,291
"Total, all industrial groups..................",3380,1680,1508,89,83,1700,262441,226020,110644,97992,5000,7652,"115,37 6",120095
